Pseudonym;Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity
И.;;Жюль Верн;Юбилейная статья;Верн Ж.;Французская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№5117;28.03.1935;3;Чердак
Ю. Сазонова;Сазонова Ю.Л.;Шекспир;Рецензия на исследование;Шамбрен К.Л. де;Французская литература;XXв.;Английская литература;XVIIв.;Шекспир У.;Mon grand ami Shakespeare : souvenirs de John Lacy, comédien du roi ;Последние новости;Париж;Газета;№5119;30.03.1935;4;Подвал
Георгий Адамович;Адамович Г.В.;Жизнь и «жизнь»;Рецензия на статью;Ходасевич В.Ф.;Русская литература;Эмигрантская литература;;;;Книги и люди. Новые стихи;Последние новости;Париж;Газета;№5124;04.04.1935;2;Подвал
Г.А.;Адамович Г.В.;«Парад бессмертных»;Рецензия на издание;;Русская литература;Советская литература;;;;Парад бессмертных: Художественно-оптимистический альманах, посвященный съезду писателей вообще и его последствиям в частности;Последние новости;Париж;Газета;№5124;04.04.1935;3;Чердак
Н. К—гъ;Кнорринг Н.Н.;Никола Шугай;Рецензия на художественную книгу;Ольбрахт И.;Чешская литература;XXв.;;;;;Последние новости;Париж;Газета;№5124;04.04.1935;3;Чердак
А.;Адамович Г.В.;«Содружество»;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Журнал Содружества;Последние новости;Париж;Газета;№5124;04.04.1935;3;Чердак
Р. Словцов;Калишевич Н.В.;«Жерминаль» и «Новь»;Рецензия на исследование;Клеман М.К.;Русская литература;Советская литература;Французская литература;2/2 XIXв.;Тургенев И.С.;М.К. Клеман. Эмиль Зола. Сборник статей;Последние новости;Париж;Газета;№5124;04.04.1935;3;Подвал
Р. Словцов;Калишевич Н.В.;«Жерминаль» и «Новь»;Рецензия на исследование;Клеман М.К.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Золя Э.;М.К. Клеман. Эмиль Зола. Сборник статей;Последние новости;Париж;Газета;№5124;04.04.1935;3;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Толстой А.Н.;Русская литература;Советская литература;;;;Петр 1;Последние новости;Париж;Газета;№5131;11.04.1935;2;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Тынянов Ю.Н.;Русская литература;Советская литература;;;;Пушкин;Последние новости;Париж;Газета;№5131;11.04.1935;2;Подвал
А. Ш.;Швыров А.В.;«Неизвестное Евангелие»;Рецензия на исследование;Белль И.;Английская литература;XXв.;;;;;Последние новости;Париж;Газета;№5131;11.04.1935;3;Чердак
