number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_excerpt ;compiler;place_of_edition;year_of_edition;edition ;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
1;Эзоп;м;Волк и журавль;;проза;;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;помечено, что перевод Л. Н. Толстого;Беме_1918
2;Эзоп;м;Ворон и лисица;;проза;;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;помечено, что перевод Л. Н. Толстого;Беме_1918
3;Эзоп;м;Стрекоза и муравей;;проза;;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;помечено, что перевод Л. Н. Толстого;Беме_1918
4;Дмитриев И.И.;м;Муха;;поэзия;1805;басня;нет;нет;Бык с плугом;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
5;б/а;;Лиса и рак;;проза;;басня;нет;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
6;Лессинг ;м;Конь и бык;;проза;1818;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;перевод Жуковского В.А.;Беме_1918
7;Толстой Л.Н.;м;Дикий и ручной осел;;проза;1875;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
8;Толстой Л.Н.;м;Старый лев и осел;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
9;Толстой Л.Н.;м;Еж и уж;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
10;Толстой Л.Н.;м;Олень;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
11;Толстой Л.Н.;м;Мыши;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
12;Дмитриев И.И.;м;Нищий и собака;;поэзия;1803;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
13;Толстой Л.Н.;м;Лошадь и хозяев;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
14;б/а;м;Лиса и козел;;поэзия;;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
15;Измайлов А.Е.;м;Два рака;;поэзия;1816;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
16;Толстой Л.Н.;м;Дуб и орешник;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
17;Дмитриев И.И.;м;Полевой цветок;Дикий цветок;поэзия;1805;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
18;Аксаков С.Т.;м;Срубленное дерево;;проза;1857;повесть;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
19;Жуковский В.А.;м;Будто солнце улыбаясь;Два колосика;поэзия;;стихотворение;нет;нет;Из всего растительного уарства;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
20;б/а;;Ах, кабы на цветы;;поэзия;;песня;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
21;Толстой Л.Н.;м;Лгун;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
22;Измайлов А.Е.;м;Лестница;;поэзия;1815;стихотворение;нет;нет;Стояла лестница однажды у стены.;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
23;Толстой Л.Н.;м;Мужик и водяной;;проза;1875;басня;да;нет;У одной девочки умерла девочка Анночка;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
24;Толстой Л.Н.;м;Мать и дочь;;проза;;;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
25;б/а;;Зеленейся, зеленейся;;поэзия;;песня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
26;Толстой Л.Н.;м;Слепой и молоко;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
27;Толстой Л.Н.;м;Бедный портной;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
28;б/а;;Мы вокруг поля ходили;;поэзия;;песня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
29;Толстой Л.Н.;м;Справедливый царь;;проза;1875;сказка;нет;нет;Один царь строил себе дворец и перед дворцом сделала сад;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
30;Жуковский В.А.;м;Жаворонок;;поэзия;1852;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
31;б/а;;Чудо на мельнице;;проза;;сказка;нет;да;Пришел мельник на мельницу и стал просить у мельника святую милостыню.;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
32;Даль В.И.;м;Счастье;;проза;;;нет;да;В тридевятом царстве, за тридевять земель, у сильного, могучего и богатого царя была одним-одна дочь.;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
33;Аксаков С.Т.;м;Записки ружейного охотника Оренбургской губернии;Утка, как мать;проза;1852;;нет;нет;Утка - самая горячая мать. Когда собака или человек спугнет ее с гнезда, для чего надобно почти наступить на него, то она притворяется какою-то хворою или неумеющею летать;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
34;Тургенев И.С.;м;Воробей;;;1878;стихотворение в прозе;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
35;Толстой Л.Н.;м;Зерно с куриное яйцо;;проза;1886;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
36;Крылов И.А.;м;Лебедь, рак и щука;;поэзия;1814;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
37;Крылов И.А.;м;Свинья под дубом;;поэзия;1823;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
38;Крылов И.А.;м;Мартышка и очки;;поэзия;1815;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
39;Крылов И.А.;м;Квартет;;поэзия;1811;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
40;Крылов И.А.;м;Две бочки;;поэзия;1819;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
41;Крылов И.А.;м;Тришкин кафтан;;поэзия;1815;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
42;Крылов И.А.;м;Ларчик;;поэзия;1808;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
43;Крылов И.А.;м;Вельможа;;поэзия;1836;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
44;Крылов И.А.;м;Три мужика;;поэзия;1830;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
45;Крылов И.А.;м;Демьянова уха;;поэзия;1812;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
46;Толстой Л.Н.;м;Детство;;проза;1852;повесть;нет;нет;Счастливая, счастливая, невозратимая пора дества!;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
47;Лермонтов М.Ю.;м;Казачья колыбельная песня;;поэзия;1838;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
48;Гончаров И.А.;м;Обломов;Сон Обломова;проза;1859;роман;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
49;Гоголь Н.В.;м;Мертвые души;О, моя юность!;проза;1842;поэма;нет;нет;Прежде, давно, в лета моей юности;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
50;Пушкин А.С.;м;Зимний вечер;;поэзия;1825;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
51;Чехов А.П.;м;Ванька;;проза;1886;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
52;Некрасов Н.А.;м;Крестьянские дети;Мужичок с ноготок;поэзия;1861;поэма;нет;нет;Однажды, в студеную зимнюю пору;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
53;Достоевский Ф.М.;м;Мальчик у Христа на елке;;проза;1876;рассказ;нет;нет;еще очень маленький, лет шести или даже мене;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
54;Сологуб Ф.К.;м;Лишние веревочки;;проза;1905;сказка;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
55;Толстой А.К.;м;Ходит Спесь, надуваючись;;поэзия;1856;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
56;Салтыков-Щедрин М.Е.;м;Кисель;;проза;1885;сказка;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
57;Короленко В.Г.;м;В ночь под светлый праздник;;проза;1885;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
58;Лермонтов М.Ю.;м;Из Гете;;поэзия;1840;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
59;Чехов А.П.;м;Тоска;;проза;1886;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;без эпиграфа, в оригинале есть;Беме_1918
60;Надсон С.Я.;м;Над свежей могилой;;поэзия;1879;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
61;Тургенев И.С.;м;Отцы и дети ;Могила сына;проза;1862;роман;нет;нет;Есть небольшое сельское кладбище в одном из отдаленных уголков России;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
62;Кольцов А.В.;м;Не шуми ты, рожь;;поэзия;1834;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
63;Никитин И.С.;м;Вырыта заступом яма глубокая;;поэзия;1860;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
64;Андреев Л.Н.;м;Кусака;;проза;1901;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
65;Тургенев И.С.;м;Перепелка;;проза;1882;повесть;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
66;Пушкин А.С.;м;Птичка;;поэзия;1823;стихотворение;да;нет;В чужбине свято наблюдаю / родной обычай старины ;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
67;Горький М.;м;В лесу;Ловля птиц;проза;;рассказ;нет;да;Я пешил заниматься ловлей певчих птиц;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
68;Фофанов К.М.;м;Звезды ясные, звезды прекрасные;;поэзия;1885;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
69;Гоголь Н.В.;м;Тарас Бульба;Украсинская степь;проза;1835;повесть;нет;нет;Степь, чем далее, тем становилась прекраснее;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
70;Пушкин А.С.;м;Цыганы;;поэзия;1825;поэма;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
71;Гоголь Н.В.;м;Страшная месть;Днепр;проза;1831;повесть;нет;нет;Чуден Днепр;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
72;Пушкин А.С.;м;Песнь о вещем Олеге;;поэзия;1825;баллада;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
73;Никитин И.С.;м;Ночлег в деревне;;поэзия;1858;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
74;Тургенев И.С.;м;Деревня;;;1878;стихотворение в прозе;да;нет;"Последний день июня месяца; на тысячу верст кругом Россия — родной край.";Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
75;Тютчев Ф.И.;м;Эти бедные селенья;;поэзия;1855;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
76;Кольцов А.В.;м;Раздумье селянина;;поэзия;1837;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
77;Гоголь Н.В.;м;Мертвые души;Дорога;проза;1842;поэма;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
78;Тургенев И.С.;м;Лес и степь;;проза;1852;повесть;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
79;Боборыкин П.Д.;м;Китай-город;;проза;1883;роман;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
80;Загоскин М.Н.;м;Смесь;Кремль;проза;1850;рассказ;нет;нет;Как прекрасен, как великолепен наш Кремль в тихую летнюю ночь;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
81;Толстой А.К.;м;Василий Шибанов;;поэзия;1840;баллада;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
82;Гоголь Н.В.;м;Мертвые души;Тройка;проза;1842;поэма;нет;нет;Какой русский не любит;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
83;Лермонтов М.Ю.;м;Родина;Отчизна;поэзия;1842;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
84;Гоголь Н.В.;м;Мертвые души;Русь;проза;1842;поэма;нет;нет;Русь! Русь! Вижу тебя, из моего чудесного, прекрасного далека;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
85;Мережковский Д.С.;м;Родина;;поэзия;1887;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
86;Лесков Н.С.;м;Соборяне;Весенняя молитва;проза;1872;рассказ;нет;нет;"Был я осрамлен в губернии; но мало в сравнении пред тем";Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
87;Лермонтов М.Ю.;м;Молитва;;поэзия;1839;стихотворение;да;нет;В минуту жизни трудную;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
88;Горький М.;м;Легенда о Марко;;поэзия;1903;повесть;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
89;Галина (Ринкс Г.А.);ж;Лес рубят;;поэзия;1901;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
90;Короленко В.Г.;м;Огоньки;;проза;1901;рассказ;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
91;Некрасов Н.А.;м;Внимая ужасам войны;;поэзия;1855;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
92;Надсон С.Я.;м;Друг мой, брат мой, усталый, страдающий брат;;поэзия;1880;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
93;Бальмонт К.Д.;м;Война, не вражда;;поэзия;1905;стихотворение;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
94;Брюсов В.Я.;м;Последняя война;;поэзия;1914;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
95;Горький М.;м;В людях;Чтение;проза;1915;повесть;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
96;Чернышевский Н.Г.;м;Александр Сергеевич Пушкин. Его жизнь и сочинения;Литература;проза;1856;роман;нет;нет;Образованным человеком называется тот, кто приобрел много знаний и, кроме того, привык быстро и верно соображать;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
97;Некрасов Н.А.;м;Сеятелям;;поэзия;1876;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
98;Тургенев И.С.;м;Русский язык;;;1882;стихотворение в прозе;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
99;Достоевский Ф.М.;м;Мальчик у Христа на елке;;проза;1876;рассказ;да;нет;;О.И.Андреева;Ревель;1921;1;;хрестоматия;;на обложке хрестоматии указано 3 год обучения;Андреева_1921
100;Елпатьевский С.Я.;м;Отзывчивое сердце;;проза;;рассказ;да;нет;Девочка-гимназистка сидела с красными заплаканными глазами за своими уроками;О.И.Андреева;Ревель;1921;1;;хрестоматия;;на обложке хрестоматии указано 3 год обучения;Андреева_1921
101;Засодимский П.В.;м;Гришина милостыня;;проза;;рассказ;да;нет;;О.И.Андреева;Ревель;1921;1;;хрестоматия;;на обложке хрестоматии указано 3 год обучения;Андреева_1921
102;Толстой А.К.;м;Колокольчики;;поэзия;1854;стихотворение;нет;нет;Колокольчики мои;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
103;Жуковский В.А.;м;Мальчик с пальчик;;поэзия;1851;сказка;нет;нет;Жил малеький мальчик;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
104;Майков А.Н.;м;Мать и дети;;поэзия;1860;стихотворение;да;нет;Кто вас, детки, крепко любит;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
105;б/а;;Маленький грамотей;;проза;;;да;да;Сидел раз Фомка на завалинке и читал книгу;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
106;Толмачева М.Л.;ж;Как жила Тася;Старый мишка;проза;1913;;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
107;Плещеев А.Н.;м;Шаловливые ручонки;;поэзия;;;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
108;Поздняков Н.Ф.;м;Бабушка и внучка;;проза;;;нет;ет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
109;Толмачева М.Л.;ж;Как жила Тася;На дачу;проза;1914;повесть;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
110;Надсон С.Я.;м;У кроватки;;поэзия;1884;стихотворение;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
111;Суриков И.З.;м;Детство;;поэзия;1866;стихотворение;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
112;Бажина С.Н.;ж;Мотька;;проза;1890;стихотворение;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
113;б/а;;Честный человек;;;;;;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;перевод Рейнталь с эстонского;Дормидонтова_Колокольчики_1921
114;Дмитриева В.И.;ж;В деревне;;проза;;рассказ;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
115;Суриков И.З.;м;Горе;;поэзия;1872;стихотворение;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
116;Модзалевский Л.Н.;м;Кончил дело гуляй смело;;проза;;;;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
117;Поздняков Н.Ф.;м;Три брата ленивых;;проза;;;;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
118;Александрович А.Д.;м;Два друга;;проза;;;;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
119;Дмитриева В.И.;м;Малыш и Жучка;Как малыш поступил в школу;проза;1898;рассказ;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
120;Толстой Л.Н.;м;Старый дед и внучкка;;проза;1875;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
121;Ушинский К.Д.;м;Ворон и сорока;;проза;;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
122;Толстой Л.Н.;м;Косточка;;проза;1875;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
123;Ушинский К.Д.;м;Два плуга;;проза;;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
124;Толстой Л.Н.;м;Как вор сам себя выдал;;проза;1875;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
125;Толстой Л.Н.;м;Пожар;;проза;1875;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
126;Толстой Л.Н.;м;Пожарные собаки;;проза;1875;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
127;Толстой Л.Н.;м;Девочки и грибы;;проза;1875;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
128;б/а;;Грибок подосиновик;;проза;;;;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;из русской грамоты;Дормидонтова_Колокольчики_1921
129;Толстой Л.Н.;м;Лев и собака;Лев и собачка;проза;1875;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
130;Ушинский К.Д.;м;Леший;;проза;;рассказ;;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
131;Данилевский Г.П.;м;Привидение;;проза;1879;рассказ;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
132;Журавская З.Н.;ж;Не все сразу, господа;;проза;;рассказ;;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
133;Толстой Л.Н.;м;Воробей и ласточки;;проза;1875;рассказ;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
134;Тургенев И.С.;м;Воробей;;;1878;стихотворение в прозе;;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
135;б/а;;Птичка над моим окном;;поэзия;;песня;нет;нет;Птичка над моим окном Гнездышко для деток вьет;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
136;Крылов И.А.;м;Чиж и голубь;;поэзия;1816;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
137;Шведер Е.И.;м;Самоотверженные муравьи;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
138;б/а;;Журавль и цапля;;проза;;сказка;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
139;Крылов И.А.;м;Волк и журавль;;поэзия;1816;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
140;Крылов И.А.;м;Лебедь, рак и щука;;поэзия;1814;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
141;б/а;;Репка;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
142;б/а;;Козлята и волк;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
143;б/а;;Колобок;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
144;б/а;;Кувшин-теремок;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
145;б/а;;Лисичка-сестричка и волк;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
146;б/а;;Чорт и его сын;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;эстонская сказка;Дормидонтова_Колокольчики_1921
147;б/а;;Ворона и рак;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
148;Крылов И.А.;м;Ворона и лисица;;поэзия;1808;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
149;Крылов И.А.;м;Лисица и виноград;;поэзия;1808;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
150;б/а;;Заяц и лягушка;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
151;Крылов И.А.;м;Лягушка и вол;;поэзия;1808;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
152;Погосский А.Ф.;м;Без кнута;;проза;;рассказ;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
153;б/а;;Медвежья лапа;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
154;б/а;;Мужик и медведь;;проза;;сказка;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
155;Некрасов Н.А.;м;Генерал Топтыгин;;;1867;стихотворение в прозе;нет;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
156;Толстой Л.Н.;м;Акула;;проза;1875;рассказ;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
157;Толстой Л.Н.;м;Прыжок;;проза;1875;рассказ;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
158;Толстой Л.Н.;м;Отчего зло на свете;;проза;1875;басня;да;нет;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
159;б/а;;Здесь и там;;драма;;;;;;З.Н.Дормидонтова;Юрьев;1921;2;;хрестоматия;;;Дормидонтова_Колокольчики_1921
