number ;author_in_publication;author_real_name ;text;name;city;type;political_orientation;issue ;year_publ_in_emigration;date_publ_in_emigration;taken_from;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Цветаева Марина;;Солнце – одно, а шагает по всем городам;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;121;;;;;
;Цветаева Марина;;Чтобы помнил не часок, не годок;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;122;;;;;
;Цветаева Марина;;Нà смех и нà ало;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;123;;;;;
;Цветаева Марина;;Со мной не надо говорить;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;124;;;;;
;Цветаева Марина;;Ты меня никогда не прогонишь;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;125;;;;;
;Цветаева Марина;;Не знаю, где ты и где я;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;126;;;;;
;Цветаева Марина;;И бродим с тобой по церквам;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;127;;;;;
;Цветаева Марина;;И как под землею трава;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;128;;;;;
;Цветаева Марина;;Когда-нибудь, прелестное созданье;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;129;;;;;
;Цветаева Марина;;Отнимите жемчуг – останутся слезы;Современные записки;Париж;журнал;;;1921;05.12;;стихи ;;;130;;;;;
;Зощенко Мих.;;Виктория Казимировна;Голос России;Берлин;газета;;№1032;1922;15.08;;проза;;;3—4;;;;;Сборник «Серапионовы братья»
;Горький М.;;Фарфоровая свинья;Русский Голос;Нью-Йорк;газета;;№7573;1936;05.08;;проза;;;2;;;;;
;Гумилев Н. С.;;Огненный столп;Петрополис;Берлин;издательство;;;1922;;;;;;;;;;;
;Мандельштам О.;;Tristia;Петрополис;Берлин;издательство;;;1922;;;;;;;;;;;
;Кузмин М.;;Параболы;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Радлова А. Д. ;;Богородицын корабль ;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Гумилев Н. С.;;Колчан;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Гумилев Н. С.;;К синей звезде ;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Кузмин М.;;Глиняные голубки ;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Кузмин М.;;Крылья;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Кузмин М.;;Сети;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Гумилев Н. С.;;Французские народные песни;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Кузмин М.;;Плавающие путешествующие;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Никитин Н. ;;Полет;Петрополис;Берлин;издательство;;;1923;;;;;;;;;;;
;Никитин Н. ;;Ночной пожар;Петрополис;Берлин;издательство;;;1924;;;;;;;;;;;
;Кузмин М.;;Тихий страж;Петрополис;Берлин;издательство;;;1924;;;;;;;;;;;
;Калинников И. Ф.;;Мощи;Петрополис;Берлин;издательство;;;1926;;;;;;;;;;;
;Андреев В. М.;;Преступления Аквилонова;Петрополис;Берлин;издательство;;;1927;;;;;;;;;;;
;Четвериков Б. Д.;;Бунт инженера Каринского;Петрополис;Берлин;издательство;;;1928;;;;;;;;;;;
;Федин Константин;;Братья;Петрополис;Берлин;издательство;;;1928;;;;;;;;;;;
;Толстой А. Н.;;Восемнадцатый год;Петрополис;Берлин;издательство;;;1928;;;;;;;;;;;
;Мариенгоф А.;;Циники;Петрополис;Берлин;издательство;;;1928;;;;;;;;;;;
;"Пильняк Б. А.
";;Штосс в жизнь;Петрополис;Берлин;издательство;;;1929;;;;;;;;;;;
;Мариенгоф А.;;Роман без вранья ;Петрополис;Берлин;издательство;;;1929;;;;;;;;;;;
;Никитин Н. ;;Шпион;Петрополис;Берлин;издательство;;;1929;;;;;;;;;;;
;Зощенко Мих.;;Семейный купорос;Петрополис;Берлин;издательство;;;1929;;;;;;;;;;;
;"Пильняк Б. А.
";;Красное дерево;Петрополис;Берлин;издательство;;;1929;;;;;;;;;;;
;Савич О.;;Воображаемый собеседник ;Петрополис;Берлин;издательство;;;1929;;;;;;;;;;;
;Сытин А. П.;;Пастух времен;Петрополис;Берлин;издательство;;;1929;;;;;;;;;;;
;Тынянов Ю.;;Смерть Вазир-Мухтара;Петрополис;Берлин;издательство;;;1929;;;;;;;;;;;
;Зощенко Мих.;;Воспоминания о Мишеле Синягине;Петрополис;Берлин;издательство;;;1930;;;;;;;;;;;
;Мариенгоф А.;;Бритый человек;Петрополис;Берлин;издательство;;;1930;;;;;;;;;;;
;Толстой А. Н.;;Петр 1;Петрополис;Берлин;издательство;;;1930;;;;;;;;;;;
;Фибих Д.;;Угар;Петрополис;Берлин;издательство;;;1930;;;;;;;;;;;
;Зощенко Мих.;;Воспоминания о Мишеле Синягине;Петрополис;Берлин;издательство;;;1931;;;;;;;;;;;
;Савич О.;;Мы и они: Франция;Петрополис;Берлин;издательство;;;1931;;;;;;;;;;;
;Розенфельд С. Е.;;Гибель;Петрополис;Берлин;издательство;;;1931;;;;;;;;;;;
;Гумилев Н. С.;;Гондла;Петрополис;Берлин;издательство;;;1936;;;;;;;;;;;
;Гумилев Н. С.;;Чужое небо;Петрополис;Берлин;издательство;;;1936;;;;;;;;;;;
;Павлов В.;;Подхалимы;Возрождение;Париж;газета;;№952;1928;10.01;;;;;5;;;Крокодил;;
;Романов П. ;;Легкая работа;Возрождение;Париж;газета;;№1170;1928;15.08;;;;;3;1928;июль;Красная новь;№7, 84—86;
;Бабель И. Э.;;Мопассан — ее страсть;Возрождение;Париж;газета;;№2632;1932;16.08;;;;;4—5;;;30 дней?;;
;Шолохов М. А.;;Поднятая целина;Возрождение;Париж;газета;;№2702;1932;25.10;;;;;4—5;;;Новый мир;;Отрывок из 2 части (Новый мир 1932 5–6)
;Зощенко М. М.;;Юмористический рассказ;Возрождение;Париж;газета;;№2725;1932;17.11;;;;;2;;;Вечерняя Москва;;
;Ильф И. И Петров Е.;;Веселящая единица;Возрождение;Париж;газета;;№2735;1932;27.11;;;;;5;1932;12.11;Правда;;
;Зощенко М. М.;;Беспокойный старичок;Возрождение;Париж;газета;;№2801;1933;01.02;;;;;3;1933;январь;Крокодил;№3;
;Зощенко М. М.;;Страдания молодого Вертера;Возрождение;Париж;газета;;№2815;1933;15.02;;;;;3;1933;январь;Крокодил;№1;
;Зощенко М. М.;;Единодушие;Возрождение;Париж;газета;;№2816;1933;16.02;;;;;5;1933;10.02;Вечерняя Москва;;? Вечерняя Москва 3 10.02.1933
;Федин К. А.;;Похищение Европы;Возрождение;Париж;газета;;№2819;1933;19.02;;;отрывок;Ганза;4;1933;13.02;Красная газета;№36(3324), 3;
;Ильф И. И Петров Е.;;Кандидаты ;Возрождение;Париж;газета;;№2923;1933;23.02;;;;;3—4;1933;10.02;Огонек;№4(464), 4—5;
;Ильф И. И Петров Е.;;Необыкновенные страдания директора завода;Возрождение;Париж;газета;;№2859;1933;31.03;;;;;5;1933;26.03;Правда;;Правда
;Шолохов М. А.;;Тихий Дон;Возрождение;Париж;газета;;№2885;1933;26.04;;;отрывок;восстание;3;1933;21.04;Красная газета;№92(3870),С.3 ;Вечерняя Газета (Октябрь января 1932)
;Ильф И. И Петров Е.;;Техника на грани фантастики;Возрождение;Париж;газета;;№2944;1933;24.06;;;;;5;1933;июнь;Крокодил;№17, 4—5;
;Зощенко М. М.;;Преступление и наказание;Возрождение;Париж;газета;;№2952;1933;02.07;;;отрывок;;4;1933;март;Красная новь;№3, 131—138;
;Зощенко М. М.;;Преступление и наказание;Возрождение;Париж;газета;;№2953;1933;03.07;;;отрывок;;3;1933;март;Красная новь;№3, 131—138;
;Зощенко М. М.;;Морока;Возрождение;Париж;газета;;№3129;1933;26.12;;;;;3;1933;декабрь;Крокодил;№34, 4—5;
;Зощенко М. М.;;Счастливый путь;Возрождение;Париж;газета;;№3132;1933;29.12;;;;;5;1933;20.12;Огонек;№ 26 (486), 5—6;
;Романов П. ;;Для удобства публики ;Возрождение;Париж;газета;;№3139;1934;05.01;;;;;5;1933, декабрь,№34, 7—8;декабрь;Крокодил;;
;Катаев И.;;В одной комнате;Возрождение;Париж;газета;;№3142;1934;08.01;;;;;3;1933;20.12;Огонек;№ 26 (486), 3—4;
;Романов П. ;;Кукла;Возрождение;Париж;газета;;№3164;1934;30.01;;;;;4;1934;январь;Крокодил;№1, 3–4;
;Зощенко М. М.;;Подарок;Возрождение;Париж;газета;;№3184;1934;20.02;;;;;4;1934;январь;Крокодил;№3, 5;
;Ильф И. И Петров Е.;;Директивный бантик;Возрождение;Париж;газета;;№3216;1934;24.03;;;;;4;1934;19.03;Правда;;
;Зощенко М. М.;;Анна на шее;Возрождение;Париж;газета;;№3226;1934;03.04;;;;;4;1934;март;Крокодил;№7, 6—7;
;Ильф И. И Петров Е.;;Любимый трамвай;Возрождение;Париж;газета;;№3235;1934;12.04;;;;;2;1934;07.04;Правда;;
;Зощенко М. М.;;Неудачный день;Возрождение;Париж;газета;;№3290;1934;06.06;;;отрывок;;3;1934;февраль;Красная новь;№2, 138—143;
;Зощенко М. М.;;Неудачный день;Возрождение;Париж;газета;;№3292;1934;08.06;;;отрывок;;3;1934;март;Красная новь;№2, 138—144;
;Зощенко М. М.;;Неприятная история;Возрождение;Париж;газета;;№3300;1934;16.06;;;;;4;1934;12.06;Известия ;;или не все то золото, что блестит 
;Зощенко М. М.;;Забавное приключение;Возрождение;Париж;газета;;№3478;1934;11.12;;;;;3—4;;;;№161, 2, 4;
;Шолохов М. А.;;Тихий Дон;Возрождение;Париж;газета;;№3569;1935;12.03;;;отрывок;Глава из 4 части романа;3—4;1935;06.03;Известия ;№57 (5610), 2, 4;
;Ильф И. И Петров Е.;;Широкий размах;Возрождение;Париж;газета;;№3605;1935;17.04;;;;;3;1935;12.04;Правда;;
;Ильф И. И Петров Е.;;Театральная история ;Возрождение;Париж;газета;;№3623;1935;05.05;;;;;5;1935;апрель;Крокодил?;№12;
;Ильф И. И Петров Е.;;Лентяй;Возрождение;Париж;газета;;№3644;1935;26.05;;;;;6;1935;апрель;Крокодил;№12, 2;
;Зощенко М. М.;;Страдания молодого Вертера;Возрождение;Париж;газета;;№3718;1935;08.08;;;;;5;1935;июль;Красная новь;№7, 22—24;
;Зощенко М. М.;;Рассказы о неудачах (мелкий случай из личной жизни);Возрождение;Париж;газета;;№3720;1935;10.08;;;;;4;1935;июль;Красная новь;№7, 26—27;
;Зощенко М. М.;;Водяная феерия;Возрождение;Париж;газета;;№3836;1935;04.12;;;;;3;1935;ноябрь;Крокодил;№28–29, 4—5;
;Зощенко М. М.;;Плохая жена;Возрождение;Париж;газета;;№3867;1936;04.01;;;;;4;;;Вечерняя Москва;;
;Зощенко М. М.;;Много шума из ничего;Возрождение;Париж;газета;;№4039;1936;15.08;;;;;4;1936;09.07;Известия ;№158, 4;
;Зощенко М. М.;;История болезни;Возрождение;Париж;газета;;№4061;1937;16.01;;;;;4;1936;октябрь;Крокодил;№28, 6—7;
;Грин А. С.;;Брак Августа Эсборна;Последние новости;Париж;газета;;№1845;1926;11.04;;;;;2—3;;;Красная Нива;;
;Шишков В.;;Птичка;Последние новости;Париж;газета;;№2110;1927;01.01;;;;;2–3;;;Красная Нива;;
;Зощенко М. М.;;Нормальная жизнь;Последние новости;Париж;газета;;№2110;1927;01.01;;;;;3;;;;;
;Зощенко М. М.;;Письмо в милицию;Последние новости;Париж;газета;;№2121;1927;12.01;;;;;3;;;;;
;Зощенко М. М.;;Тетка Марья рассказала;Последние новости;Париж;газета;;№2125;1927;16.01;;;;;3;;;;;
;Соколов-Микитов И.;;На светлых озерах;Последние новости;Париж;газета;;№2132;1927;23.01;;;;;2–3;;;Красная Нива (новь?);;
;Зощенко М. М.;;Счастливое детство;Последние новости;Париж;газета;;№2132;1927;23.01;;;;;3;;;;;
;Зощенко М. М.;;Гибель человека;Последние новости;Париж;газета;;№2136;1927;27.01;;;;;4;;;;;
;Зощенко М. М.;;Прискорбный случай;Последние новости;Париж;газета;;№2139;1927;30.01;;;;;3;;;;;
;Зощенко М. М.;;Качество продукции;Последние новости;Париж;газета;;№2146;1927;06.02;;;;;3;;;;;
;Зощенко М. М.;;Стакан;Последние новости;Париж;газета;;№2153;1927;13.02;;;;;3;;;;;
;Зорич А.;;Преступление гражданки Л.;Последние новости;Париж;газета;;№2162;1927;22.02;;;;;3;;;Правда;;
;Соколов-Микитов И.;;Танакино счастье;Последние новости;Париж;газета;;№2167;1927;27.02;;;;;2—3;;;;;
;Зощенко М. М.;;Пассажир;Последние новости;Париж;газета;;№2167;1927;27.02;;;;;3;;;;;
;Романов П. ;;Суд над пионером;Последние новости;Париж;газета;;№2174;1927;06.03;;;;;2—3;;;;;
;Зощенко М. М.;;Рабочий костюм;Последние новости;Париж;газета;;№2174;1927;06.03;;;;;3;;;;;
;Соколов-Микитов И.;;Деревенские небылицы;Последние новости;Париж;газета;;№2204;1927;05.04;;;;;3;;;;;
;Иванов Вс. ;;Бог Матвей;Последние новости;Париж;газета;;№2209;1927;10.04;;;;;2–3;;;Красная Н;;
;Зощенко М. М.;;За стаканом пива;Последние новости;Париж;газета;;№2209;1927;10.09;;;;;3;;;;;
;Романов П. ;;Хулиганство;Последние новости;Париж;газета;;№2223;1927;24.04;;;;;3—4;;;Бузотер;;
;Зощенко М. М.;;Свадьба;Последние новости;Париж;газета;;№2223;1927;24.04;;;;;4—5;;;;;
;Зощенко М. М.;;Часы;Последние новости;Париж;газета;;№2244;1927;15.05;;;;;3;;;;;
;Зощенко М. М.;;Американская реклама;Последние новости;Париж;газета;;№2258;1927;29.05;;;;;3;;;;;
;Пришвин М.;;Нерль;Последние новости;Париж;газета;;№2300;1927;10.07;;;;;2–3;;;Новый мир;;
;Зощенко М. М.;;Дырка;Последние новости;Париж;газета;;№2332;1927;11.08;;;;;5;;;;;
;Зощенко М. М.;;Гримаса НЭПа;Последние новости;Париж;газета;;№2381;1927;29.09;;;;;4;;;;;
;Зощенко М. М.;;Комната с кухней;Последние новости;Париж;газета;;№2385;1927;03.10;;;;;3;;;;;
;Зощенко М. М.;;Зубное дело;Последние новости;Париж;газета;;№2388;1927;06.10;;;;;4;;;;;
;Зощенко М. М.;;Что-нибудь особенное;Последние новости;Париж;газета;;№2401;1927;09.10;;;;;;;;;;
;Соколов-Микитов И.;;Глушаки;Последние новости;Париж;газета;;№2428;1927;15.11;;;;;2—3;;;;;
;Романов П. ;;Порядок;Последние новости;Париж;газета;;№2435;1927;22.11;;;;;3;;;;;
;Зощенко М. М.;;Шапка;Последние новости;Париж;газета;;№2437;1927;24.11;;;;;3;;;;;
;Зощенко М. М.;;Легкая жизнь;Последние новости;Париж;газета;;№2452;1927;09.12;;;;;3;;;;;
;Зощенко М. М.;;Очень просто;Последние новости;Париж;газета;;№2475;1928;01.01;;;;;5;;;;;
;Пришвин М.;;Кость;Последние новости;Париж;газета;;№2684;1928;28.07;;;;;2;;;Красная новь;;
;Дроздов А.;;Три свидетеля;Последние новости;Париж;газета;;№2736;1928;18.09;;;;;4;;;Красная Нива;;
;Пришвин М.;;Журавлиная родина;Последние новости;Париж;газета;;№2846;1929;06.01;;;;;2—3;;;Новый мир;;
;Зорич А.;;Пьющие девушки;Последние новости;Париж;газета;;№2894;1929;23.02;;;;;4;;;Прожектор;;
;Соколов-Микитов И.;;Дороги;Последние новости;Париж;газета;;№2977;1929;17.05;;;;;2—3;;;Новый мир;;
;Вольнов И.;;Орел;Последние новости;Париж;газета;;№3014;1929;23.06;;;;;4;;;Красная новь;;
;Обручев С.;;С аэроплана на оленей;Последние новости;Париж;газета;;№3063;1929;11.08;;;;;5;;;Новый мир;;
;Шолохов М. А.;;Тихий Дон;Последние новости;Париж;газета;;№3370;1930;14.06;;;отрывок;Из 6 части;4;;;Красная Нива;;
;Зощенко М. М.;;Доктор медицины ;Последние новости;Париж;газета;;№3745;1931;24.06;;;;;3;;;;;
;Бобров Н.;;Собаки акад. И. П. Павлова;Последние новости;Париж;газета;;№3800;1931;18.08;;;;;4;;;Молодая гвардия;;
;Бабель И. Э.;;В подвале;Последние новости;Париж;газета;;№3918;1931;14.12;;;;;2–3;;;Новый мир;;
;Бабель И. Э.;;Конец богадельни;Последние новости;Париж;газета;;№3993;1932;27.02;;;;;2—3;;;;;
;Бабель И. Э.;;Дорога;Последние новости;Париж;газета;;№4032;1932;06.04;;;;;2;;;;;
;Зощенко М. М.;;Слабая тара;Последние новости;Париж;газета;;№4049;1932;23.04;;;;;5;;;;;
;Бабель И. Э.;;Аргамак;Последние новости;Париж;газета;;№4081;1932;25.05;;;;;3;;;Новый мир;;
;Леонов Л.;;Облава;Последние новости;Париж;газета;;№4148;1932;31.07;;;;;5;;;;;
;Леонов Л.;;Скутаревский;Последние новости;Париж;газета;;№4162;1932;14.08;;;;Матвей Никеич;4;;;Новый мир (5);;
;Ильф И. И Петров Е.;;Советский Робинзон ;Последние новости;Париж;газета;;№4238;1932;29.10;;;;;5;;;Известия;;
;Самойлович Р.;;На крайнем Севере;Последние новости;Париж;газета;;№4251;1932;11.11;;;;;3;;;Сов.сборн;;
;Ильф И. И Петров Е.;;Клоп;Последние новости;Париж;газета;;№4284;1932;14.12;;;;;2—3;;;Правда;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4308;1933;07.01;;;;Зимой, после стрелецких казней;4;;;Вечерняя Москва;;
;Ильф И. И Петров Е.;;Человек с гусем;Последние новости;Париж;газета;;№4323;1933;22.01;;;;;5;;;Правда(18 янв);;
;Зощенко М. М.;;Беспокойный старичок;Последние новости;Париж;газета;;№4333;1933;01.02;;;;;3;;;Крокодил;;
;Зощенко М. М.;;Врачевание и психика;Последние новости;Париж;газета;;№4341;1933;09.02;;;;;5;;;;;
;Зощенко М. М.;;Кража;Последние новости;Париж;газета;;№4375;1933;15.03;;;;;3;;;;;
;Пришвин М.;;Звери;Последние новости;Париж;газета;;№4386;1933;26.03;;;;;6;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4408;1933;17.04;;;;;2;;;Новый мир;;
;Зощенко М. М.;;Свадьба;Последние новости;Париж;газета;;№4421;1933;30.04;;;отрывок;;6;;;Красная новь;;
;Зощенко М. М.;;Свадьба;Последние новости;Париж;газета;;№4422;1933;01.05;;;отрывок;;3;;;Красная новь;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4438;1933;17.05;;;отрывок ;;3;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4445;1933;24.05;;;отрывок;;2—3;;;Красная новь;;
;Ильф И. И Петров Е.;;Советский юмор (футбол);Последние новости;Париж;газета;;№4448;1933;27.05;;;;;5;;;Крокодил;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4463;1933;11.06;;;отрывок ;;5;;;Вечерняя Москва;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4485;1933;03.07;;;отрывок;Карл XII, король шведский;3;;;Красная газета;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4505;1933;23.07;;;отрывок;;7;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4511;1933;29.07;;;отрывок ;;4;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4533;1933;20.08;;;отрывок;;5;;;Вечерняя Москва;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4534;1933;21.08;;;отрывок;;3;;;Вечерняя Москва;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4539;1933;26.08;;;отрывок;;4;;;Вечерняя Москва;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4540;1933;27.08;;;отрывок;;5;;;Вечерняя Москва;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4557;1933;13.09;;;отрывок;;3;;;Новый мир;;
;Ильф И. И Петров Е.;;Советский быт (красная парикмахерская);Последние новости;Париж;газета;;№4558;1933;14.09;;;;;5;;;;;
;Пришвин М.;;На Дальнем Востоке;Последние новости;Париж;газета;;№4565;1933;21.09;;;;;4;;;Молодая гвардия;;
;Пришвин М.;;Хромко и Игрунья (полярный роман);Последние новости;Париж;газета;;№4581;1933;07.10;;;;;5;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4667;1934;01.01;;;отрывок;;4;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4671;1934;05.01;;;отрывок;;2;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4706;1934;09.02;;;отрывок;;5;;;Вечерняя Москва;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4708;1934;11.02;;;отрывок;;6;;;Вечерняя Москва;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4714;1934;18.02;;;отрывок;;5;;;Красная новь;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4742;1934;18.03;;;отрывок;;4;;;;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4746;1934;22.03;;;отрывок;;2;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4749;1934;25.03;;;отрывок;;3;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4756;1934;01.04;;;отрывок;;5;;;Красная газета;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4763;1934;08.04;;;отрывок;;5—6;;;Литературная газета;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4773;1934;18.04;;;отрывок;Глава четвертая;2;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4777;1934;22.04;;;отрывок;;5—6;;;Новый мир;;
;Зощенко М. М.;;Рассказ про одного спекулянта;Последние новости;Париж;газета;;№4781;1934;26.04;;;;;4;;;;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4798;1934;13.05;;;отрывок;;3;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4803;1934;18.05;;;отрывок;;3;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4805;1934;20.05;;;отрывок;;3;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4807;1934;22.05;;;отрывок;;3;;;Новый мир;;
;Ильф И. И Петров Е.;;Костяная нога;Последние новости;Париж;газета;;№4809;1934;24.05;;;;;4;;;Правда;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4824;1934;08.06;;;отрывок;;3;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4826;1934;10.06;;;отрывок;;3;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4832;1934;16.06;;;отрывок;;3;;;Новый мир;;
;Толстой А. Н.;;Петр 1;Последние новости;Париж;газета;;№4833;1934;17.06;;;отрывок;;4;;;Новый мир;;
;Ильф И. И Петров Е.;;На купоросном фронте;Последние новости;Париж;газета;;№5054;1935;24.01;;;;;4;;;Правда;;
;Толстой А. Н.;;Встреча Петра Первого с Екатериной;Последние новости;Париж;газета;;№5134;1935;14.04;;драма;;;5—6;;;;;
;Шолохов М. А.;;Тихий Дон;Последние новости;Париж;газета;;№5136;1935;16.04;;;;;4;;;Известия;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5141;1935;21.04;;;отрывок;Детство;5;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5143;1935;23.04;;;отрывок;Детство;5;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5155;1935;05.05;;;отрывок;Детство;5;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5159;1935;09.05;;;отрывок;Детство;4;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5162;1935;12.05;;;отрывок;Детство;4;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5164;1935;14.05;;;отрывок;Детство;4;;;Л.С.;;
;Зощенко М. М.;;Баня и люди;Последние новости;Париж;газета;;№5166;1935;16.05;;;;;4;;;Крокодил;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5169;1935;19.05;;;отрывок;Детство;5;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5171;1935;21.05;;;отрывок;Детство;4;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5176;1935;26.05;;;отрывок;Детство;4;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5185;1935;04.06;;;отрывок;Детство;4;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5190;1935;09.06;;;отрывок;Детство;3;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5192;1935;11.06;;;отрывок;Детство;4;;;Л.С.;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5197;1935;16.06;;;отрывок;Детство;5;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5199;1935;18.06;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5204;1935;23.06;;;отрывок;Детство;5;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5206;1935;25.06;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5211;1935;30.06;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5218;1935;07.07;;;отрывок;Детство;5—6;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5224;1935;13.07;;;отрывок;Детство;2;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5232;1935;21.07;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5234;1935;23.07;;;отрывок;Детство;3;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5239;1935;28.07;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5241;1935;30.07;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5246;1935;04.08;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5248;1935;06.08;;;отрывок;Детство;3;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5253;1935;11.08;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5255;1935;13.08;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5260;1935;18.08;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5262;1935;20.08;;;отрывок;Детство;3, 5;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5267;1935;25.08;;;отрывок;Детство;4;;;;;
;Тынянов Ю.;;Пушкин;Последние новости;Париж;газета;;№5281;1935;08.09;;;отрывок;Лицей;7;;;;;
