number ;author_in_publication;author_real_name ;text;name;city;type;political_orientation;issue ;year_publ_in_emigration;date_publ_in_emigration;taken_from;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Мандельштам О.;;Я в хоровод теней, топтавших нежный луг;Накануне;Берлин;Литературное приложение ;;№74(№9);1922;25.06.;;стихи;;;1;;;;;
;Катаев Валентин;;Самогон;Накануне;Берлин;Литературное приложение ;;№74(№9);1922;25.06.;;стихи;;;1;;;;;Москва, 1922
;Неверов А.;;Страшные вести;Накануне;Берлин;Литературное приложение ;;№74(№9);1922;25.06.;;проза;;;2—3;;;;;
;Никитин Н. ;;О кобыльем яйце и коте-агенте;Накануне;Берлин;Литературное приложение ;;№82(№9);1922;16.07.;;проза;;;1;;;;;
;Катаев Валентин;;В осажденном городе;Накануне;Берлин;Литературное приложение ;;№82(№9);1922;16.07.;;;;;;;;;;
;Мандельштам О.;;С розовой пеной усталость у мягких губ;Накануне;Берлин;Литературное приложение ;;№94(№11);1922;30.07.;;стихи;;;1;;;;;
;Зенкевич Мих.;;Черношоколадные пашни;Накануне;Берлин;Литературное приложение ;;№94(№11);1922;30.07.;;стихи;;;1;;;;;Саратов, 1922
;Лидин Вл.;;Ковчег;Накануне;Берлин;Литературное приложение ;;№94(№11);1922;30.07.;;проза;;;1—;;;;;(Из книги «Мышиные будни»)
;Слезкин Юрий;;Столовая Гора;Накануне;Берлин;Литературное приложение ;;№100(№12);1922;06.08.;;проза;отрывок;О Лизочке и еще кой о чем;1—2;;;;;Март, 1922, г. Москва
;Семенов Сергей;;Sterbstadt;Накануне;Берлин;Литературное приложение ;;№100(№12);1922;06.08.;;проза;отрывок;;2—3;;;;;Петербург, весна 1922
;Блок А. А.;;Возмездие;Накануне;Берлин;Литературное приложение ;;№106(№13);1922;13.08.;;стихи;отрывок чернового наброска поэмы;;1;;;;;
;Волошин Максимилиан;;Памяти Александра Блока;Накануне;Берлин;Литературное приложение ;;№106(№13);1922;13.08.;;стихи;;;1;;;;;Коктебель, 1921
;Чачиков А. ;;Грядущее;Накануне;Берлин;Литературное приложение ;;№112(№14);1922;20.08.;;стихи;;;1;;;;;Аджаристан
;Слонимский Мих.;;Чертово колесо;Накануне;Берлин;Литературное приложение ;;№112(№14);1922;20.08.;;проза;;;1—4;;;;;
;Приходченко Евгений;;Гудела степь и ветры пахли медом;Накануне;Берлин;Литературное приложение ;;№112(№14);1922;20.08.;;стихи;;;1;;;;;
;Катаев Валентин;;Рыжие крестики ;Накануне;Берлин;Литературное приложение ;;№112(№14);1922;20.08.;;проза;;;4;;;;;
;Иванов Вс. ;;Рассказ о себе;Накануне;Берлин;Литературное приложение ;;№118(№15);1922;27.08.;;проза;;;1—2;;;;;
;Слезкин Юрий;;Томительная ночи повесть;Накануне;Берлин;Литературное приложение ;;№118(№15);1922;27.08.;;проза;;;3—4;;;;;
;Рюрик Ивнев;;Россия;Накануне;Берлин;Литературное приложение ;;№124(№16);1922;03.09.;;стихи;;;1;;;;;
;Крайский А.;;Я или ты?;Накануне;Берлин;Литературное приложение ;;№124(№16);1922;03.09.;;стихи;;;1—2;;;;;
;Неверов Александр ;;Колька;Накануне;Берлин;Литературное приложение ;;№124(№16);1922;03.09.;;проза;;;2—5;;;;;
;Козырев Михаил;;Пекате;Накануне;Берлин;Литературное приложение ;;№124(№16);1922;03.09.;;проза;;;5—8;;;;;
;Галати Екатерина ;;Как мудрый отравитель, время ;Накануне;Берлин;Литературное приложение ;;№130(№17);1922;10.09.;;стихи ;;;1;;;;;
;Галати Екатерина ;;Фильмела;Накануне;Берлин;Литературное приложение ;;№130(№17);1922;10.09.;;стихи;;;1;;;;;
;Оленин Александр;;Поэма встречи;Накануне;Берлин;Литературное приложение ;;№136(№18);1922;17.09.;;стихи;отрывок;;1;;;;;Москва, март 1922
;Слезкин Юрий;;Житие;Накануне;Берлин;Литературное приложение ;;№136(№18);1922;17.09.;;проза;;;1—5;;;;;
;Катаев Валентин;;Иринка;Накануне;Берлин;Литературное приложение ;;№142(№19);1922;24.09.;;проза;;;1—2;;;;;
;Булгаков Мих.;;Похождения Чичикова;Накануне;Берлин;Литературное приложение ;;№142(№19);1922;24.09.;;Поэма (проза);;;2—6;;;;;
;Никулин Л. ;;Путешествие в Афганистан;Накануне;Берлин;Литературное приложение ;;№154(№21);1922;08.10.;;стихи;;Герат;1;;;;;
;Никитин Н. ;;Пелла;Накануне;Берлин;Литературное приложение ;;№154(№21);1922;08.10.;;стихи;;;1;;;;;
;Ромашев Борис;;Я живу в том доме;Накануне;Берлин;Литературное приложение ;;№160(№22);1922;15.10.;;стихи;;;1;;;;;Пятигорск, 1922г
;Приходченко Евгений;;Затея;Накануне;Берлин;Литературное приложение ;;№160(№22);1922;15.10.;;стихи;;;1;;;;;
;Горбов Д.;;По облакам;Накануне;Берлин;Литературное приложение ;;№160(№22);1922;15.10.;;стихи;;;1;;;;;
