number;kind_of_literature;author;text;title_of_excerpt;start_of_excerpt;end_of_excerpt;year;chrestomathy;form;level_of_education;place_of_edition;notes;biblio_id
1;поэзия;Алексеев Ф.;Романс;Романс (Из Мура);Есть тихая роща в родной стороне;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
2;поэзия;Алексеев Ф.;Романс;Романс (Из Мура);Есть тихая роща в родной стороне;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
3;поэзия;Алексеев Ф.;Романс;Романс (Из Мура);Есть тихая роща в родной стороне;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
4;поэзия;А.Б.;Лето;;Упал палящий луч с зенита;Бегут стада под тень;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
5;поэзия;А.Г.;К Ю.Н. Бартеневу;;В безвестной тишине забытая всем светом;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6;поэзия;А.М.;Вечер 31 декабря;;С новыми днями настанут новые радости мне;;1846;Пенинский;Нижние классы;Уездные училища, гимназии;СПб;;Пенинский__1846
7;поэзия;А.Х.;К фортепиано;;Фортепиано, друг мой милой;И товарищ дорогой;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
8;драма;Аблесимов А.О.;Мельник, колдун, обманщик и сват;Мельник, колдун, обманщик и сват (комическая опера);Д3я1-я2-я3-я4-я5-я последнее;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
9;проза;Августин Виноградский;Слово на Бородинскую годовщину;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
10;поэзия;Аксаков И.С.;Бродяга;Сенокос;Благоприятный день, крестьяне дорожат;;1881;Реймерс;;Гимназии, Училища;Рига;;Реймерс__1881
11;поэзия;Аксаков И.С.;Бродяга;Зимняя ночь в деревне;Весело сияет;и тяжелый труд;1868;Басистов (хрест, курс 2);;;Москва;;Басистов (хрест, курс 2)__1868
12;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
13;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
14;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
15;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
16;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1869;Полевой+МНП;1-3 кл.;Гимназии;СПб;;Полевой+МНП__1869
17;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1887;Савенко;Приготовительные классы;СУЗ;Москва;;Савенко__1887
18;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1904;Шафров Хрест 1 часть;Третий отдел;Городские училища;Москва;;Шафров Хрест 1 часть__1904
19;поэзия;Аксаков И.С.;Бродяга;Всенощная в селе;День вечерел;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
20;поэзия;Аксаков И.С.;Бродяга;;День вечерел... И пенье слитое;;1861;Хрест для нар чтения Вып1.;;;Москва;;Хрест для нар чтения Вып1.__1861
21;поэзия;Аксаков И.С.;Бродяга;Вечер;Жар свалил…;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
22;поэзия;Аксаков И.С.;Бродяга;Вечер;Жар свалил…;;1912;Галахов РХ 35изд 1том;;СУЗ;Москва;;Галахов РХ 35изд 1том__1912
23;поэзия;Аксаков И.С.;Бродяга;Вечер;Жар свалил…;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
24;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
25;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
26;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1864;Новаковский Хрест 1 часть;;;СПб;;Новаковский Хрест 1 часть__1864
27;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
28;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1872;Басистов Курс Второй;3-5 кл.;Гимназии, женские училища 1 разряда;Москва;;Басистов Курс Второй__1872
29;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
30;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1887;Савенко;Приготовительные классы;СУЗ;Москва;;Савенко__1887
31;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1895;Ильенков Хрест;3-5 кл.;СУЗ;Москва;;Ильенков Хрест__1895
32;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1904;Шафров Хрест 3 часть;Пятый отдел;Городские училища;Москва;;Шафров Хрест 3 часть__1904
33;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
34;поэзия;Аксаков И.С.;Бродяга;Летний вечер;Жар свалил…;;1903;Смирновский Мал хрест;Приготовительные классы;Гимназии МНП;Москва;;Смирновский Мал хрест__1903
35;поэзия;Аксаков И.С.;Бродяга;Летний вечер в деревне;Жар свалил…;;1876;Стоюнин КлРХ;Младшие классы;СУЗ;СПб;;Стоюнин КлРХ__1876
36;поэзия;Аксаков И.С.;Бродяга;Колокол к вечерне;Приди ты немощный;;1903;Смирновский Мал хрест;Приготовительные классы;Гимназии МНП;Москва;;Смирновский Мал хрест__1903
37;поэзия;Аксаков И.С.;Бродяга;Накануне праздника;Колокол к вечерне... ;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
38;поэзия;Аксаков И.С.;Бродяга;Сельский вид;Крутого берега белеется отвес;луга да нивы;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
39;поэзия;Аксаков И.С.;Бродяга;Сельский вид;Крутого берега белеется отвес;луга да нивы;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
40;поэзия;Аксаков И.С.;Бродяга;Две дороги;Прямая дорога…;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
41;поэзия;Аксаков И.С.;Бродяга;Две дороги;Прямая дорога…;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
42;поэзия;Аксаков И.С.;Бродяга;Две дороги;Прямая дорога…;;1880;Федоров;Средние классы гимназии;Прибалтийские немецкие гимназии;Ревель;;Федоров__1880
43;поэзия;Аксаков И.С.;Бродяга;Шоссе и обыкновенная дорога;Прямая дорога…;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
44;поэзия;Аксаков И.С.;Бродяга;Шоссе и обыкновенная дорога;Прямая дорога…;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
45;поэзия;Аксаков И.С.;Бродяга;Шоссе и обыкновенная дорога;Прямая дорога…;;1861;Ушинский;;;СПб;;Ушинский__1861
46;поэзия;Аксаков И.С.;Бродяга;Шоссе и обыкновенная дорога;Прямая дорога…;;1864;Новаковский Хрест 1 часть;;;СПб;;Новаковский Хрест 1 часть__1864
47;поэзия;Аксаков И.С.;Бродяга;Шоссе и обыкновенная дорога;Прямая дорога…;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
48;поэзия;Аксаков И.С.;Бродяга;Шоссе и проселок;Прямая дорога…;;1864;Ушинский Родное слово;;Начальные школы;СПб;;Ушинский Родное слово__1864
49;поэзия;Аксаков И.С.;Бродяга;Шоссе и проселок;Прямая дорога…;;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
50;поэзия;Аксаков И.С.;Бродяга;Шоссе и проселок;Прямая дорога…;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
51;поэзия;Аксаков И.С.;Бродяга;Шоссе и проселочная дорога;Прямая дорога…;;1887;Савенко;Приготовительные классы;СУЗ;Москва;;Савенко__1887
52;поэзия;Аксаков И.С.;Бродяга;Полдень;Сиял безоблачен свод неба;Послушна вечному стремленью;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
53;поэзия;Аксаков И.С.;Бродяга;Возврат крестьян с сенокоса;Сиял безоблачен свод неба;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
54;поэзия;Аксаков И.С.;Сельский вечер;;Солнышко заходит и темнее день;во простоте творят;1903;Овчинников Рус Хрест для окраин;2-3 кл.;Начальные училища;Рига;;Овчинников Рус Хрест для окраин__1903
55;поэзия;Аксаков И.С.;Бродяга;Зимняя ночь в деревне;Весело сияет;и тяжелый труд;1872;Басистов Курс Второй;3-5 кл.;Гимназии, женские училища 1 разряда;Москва;;Басистов Курс Второй__1872
56;проза;Аксаков С.Т.;Берега Волги;;Берега волги разнообразны;железной руды и серы ;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
57;проза;Аксаков С.Т.;Воспоминания;Первые каникулы гимназиста;Мы пообедали;;1861;Ушинский;;;СПб;;Ушинский__1861
58;проза;Аксаков С.Т.;Воспоминания;Поступление в гимназию;;;1905;Вейнберг;1-2 кл.;;Москва;;Вейнберг__1905
59;проза;Аксаков С.Т.;Воспоминания;Прощание с деревней;В казань;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
60;проза;Аксаков С.Т.;Детские годы Багрова внука;Первые воспоминания;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
61;проза;Аксаков С.Т.;Детские годы Багрова внука;Выздоровление;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
62;проза;Аксаков С.Т.;Детские годы Багрова внука;Сурка;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
63;проза;Аксаков С.Т.;Детские годы Багрова внука;Жизнь в Уфе;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
64;проза;Аксаков С.Т.;Детские годы Багрова внука;Отъезд в деревню;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
65;проза;Аксаков С.Т.;Детские годы Багрова внука;Ночевка в поле;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
66;проза;Аксаков С.Т.;Детские годы Багрова внука;Уроки рисовани;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
67;проза;Аксаков С.Т.;Детские годы Багрова внука;Наши игры;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
68;проза;Аксаков С.Т.;Детские годы Багрова внука;Езда верхом впервые;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
69;проза;Аксаков С.Т.;Детские годы Багрова внука;Моя болезнь;Я начинаю себя помнить;ничего не помню;1908;Острем;;;Гельсингфорс;;Острем__1908
70;проза;Аксаков С.Т.;Детские годы Багрова внука;Отъезд из уфы;С некоторого времени стал я замечать;и я заснул;1908;Острем;;;Гельсингфорс;;Острем__1908
71;проза;Аксаков С.Т.;Детские годы Багрова внука;Первый вечер в Багрове;Бабушка и тетушка;приготовлено было местечко;1908;Острем;;;Гельсингфорс;;Острем__1908
72;проза;Аксаков С.Т.;Детские годы Багрова внука;Добрый день Степана Михайловича;В исходе июня;опустить на сбея полог;1912;Галахов РХ 35изд 1том;;СУЗ;Москва;;Галахов РХ 35изд 1том__1912
73;проза;Аксаков С.Т.;Детские годы Багрова внука;Выздоровление;;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
74;проза;Аксаков С.Т.;Детские годы Багрова внука;и другие отрывки;;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
75;проза;Аксаков С.Т.;Детские годы Багрова внука;Летние занятия;;;1909;Гусева Родн Нива 7 изд;Низшие классы;СУЗ, городские училища;СПб;;Гусева Родн Нива 7 изд__1909
76;проза;Аксаков С.Т.;Детские годы Багрова внука;Весна в деревне;Душа стала чем-то полна;;1876;Стоюнин КлРХ;Младшие классы;СУЗ;СПб;;Стоюнин КлРХ__1876
77;проза;Аксаков С.Т.;Детские годы Багрова внука;Катание с гор на масленице;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
78;проза;Аксаков С.Т.;Детские годы Багрова внука;Катанье с гор;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
79;проза;Аксаков С.Т.;Детские годы Багрова внука;Катанье с гор;;;1895;Иманаев;;Медресе, Школы;Казань;;Иманаев__1895
80;проза;Аксаков С.Т.;Детские годы Багрова внука;Катанье с гор;Начало пригревать солнышко и началось катанье с гор;;1895;Иманаев;;Медресе, Школы;Казань;;Иманаев__1895
81;проза;Аксаков С.Т.;Детские годы Багрова внука;Катанье с гор;;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
82;проза;Аксаков С.Т.;Детские годы Багрова внука;Отправление в гимназию;;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
83;проза;Аксаков С.Т.;Детские годы Багрова внука;Крашение пасхальных яиц;;;1903;Смирновский Мал хрест;Приготовительные классы;Гимназии МНП;Москва;;Смирновский Мал хрест__1903
84;проза;Аксаков С.Т.;Детские годы Багрова внука;Брат и сестра;;;1903;Смирновский Мал хрест;Приготовительные классы;Гимназии МНП;Москва;;Смирновский Мал хрест__1903
85;проза;Аксаков С.Т.;Детские годы Багрова внука;и другие отрывки;;;1903;Смирновский Мал хрест;Приготовительные классы;Гимназии МНП;Москва;;Смирновский Мал хрест__1903
86;проза;Аксаков С.Т.;Детские годы Багрова внука;ночевка в поле;Дорога шла лесистой уремой;;1869;Полевой+МНП;1-3 кл.;Гимназии;СПб;;Полевой+МНП__1869
87;проза;Аксаков С.Т.;Детские годы Багрова внука;Осень в деревне;;;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
88;проза;Аксаков С.Т.;Детские годы Багрова внука;Отправление в гимназию;;;1904;Шафров Хрест 1 часть;Третий отдел;Городские училища;Москва;;Шафров Хрест 1 часть__1904
89;проза;Аксаков С.Т.;Детские годы Багрова внука;Первые воспоминания;;;1903;Воскресенский Хрест 6 изд;;Начальные училища, СУЗ;СПб;;Воскресенский Хрест 6 изд__1903
90;проза;Аксаков С.Т.;Детские годы Багрова внука;Болезнь матери;;;1903;Воскресенский Хрест 6 изд;;Начальные училища, СУЗ;СПб;;Воскресенский Хрест 6 изд__1903
91;проза;Аксаков С.Т.;Детские годы Багрова внука;Сев и бороньба;Как только провяла земля;;1880;Федоров;Средние классы гимназии;Прибалтийские немецкие гимназии;Ревель;;Федоров__1880
92;проза;Аксаков С.Т.;Детские годы Багрова внука;Сев;;;1895;Ильенков Хрест;3-5 кл.;СУЗ;Москва;;Ильенков Хрест__1895
93;проза;Аксаков С.Т.;Детские годы Багрова внука;Сенокос;;;1895;Ильенков Хрест;3-5 кл.;СУЗ;Москва;;Ильенков Хрест__1895
94;проза;Аксаков С.Т.;Детские годы Багрова внука;Сенокос;Изредка езжал я;;1880;Федоров;Средние классы гимназии;Прибалтийские немецкие гимназии;Ревель;;Федоров__1880
95;проза;Аксаков С.Т.;Детские годы Багрова внука;Сказка ключницы Пелагеи;;;1903;Смирновский Мал хрест;Приготовительные классы;Гимназии МНП;Москва;;Смирновский Мал хрест__1903
96;проза;Аксаков С.Т.;Детские годы Багрова внука;Посев;Как только провяла земля;;1876;Стоюнин КлРХ;Младшие классы;СУЗ;СПб;;Стоюнин КлРХ__1876
97;проза;Аксаков С.Т.;Записки об ужении рыбы;Ерш;;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
98;проза;Аксаков С.Т.;Записки об ужении рыбы;Рыбы;;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
99;проза;Аксаков С.Т.;Записки об ужении рыбы;Уженье ;;;1895;Иманаев;;Медресе, Школы;Казань;;Иманаев__1895
100;проза;Аксаков С.Т.;Записки об ужении рыбы;Уженье рыбы;;;1862;Басистов Для перв чт и расск;;;Москва;;Басистов Для перв чт и расск__1862
101;проза;Аксаков С.Т.;Записки об ужении рыбы;Уженье рыбы;;;1870;Басистов;1-2 кл.;Гимназии, Уездные училища, Женские гимназии;Москва;;Басистов__1870
102;проза;Аксаков С.Т.;Записки об ужении рыбы;Щука;;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
103;проза;Аксаков С.Т.;Записки об ужении рыбы;Происхождение удочки;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
104;проза;Аксаков С.Т.;Записки об ужении рыбы;Ерш;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
105;проза;Аксаков С.Т.;Записки об ужении рыбы;Щука;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
106;проза;Аксаков С.Т.;Записки об ужении рыбы;Судак;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
107;проза;Аксаков С.Т.;Записки об ужении рыбы;Налим;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
108;проза;Аксаков С.Т.;Записки ружейного охотника;Лес;Полная красот;по пустой прихоти человека;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
109;проза;Аксаков С.Т.;Записки ружейного охотника;Голубь;Голубь;их стрелять;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
110;проза;Аксаков С.Т.;Записки ружейного охотника;Воды;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
111;проза;Аксаков С.Т.;Записки ружейного охотника;Горный родник;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
112;проза;Аксаков С.Т.;Записки ружейного охотника;Ручьи;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
113;проза;Аксаков С.Т.;Записки ружейного охотника;Лес;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
114;проза;Аксаков С.Т.;Записки ружейного охотника;Молодой лес;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
115;проза;Аксаков С.Т.;Записки ружейного охотника;и другие отрывки;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
116;проза;Аксаков С.Т.;Записки ружейного охотника;Урема;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
117;проза;Аксаков С.Т.;Записки ружейного охотника;Вода;;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
118;проза;Аксаков С.Т.;Записки ружейного охотника;Вода;Все хорошо в природе;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
119;проза;Аксаков С.Т.;Записки ружейного охотника;Вода и лес;Полная красота всякой местности состоит в соединении воды с лесом;;1879;Невзоров Образцовые 1Ку;1-4 кл.;СУЗ;Казань;;Невзоров Образцовые 1Ку__1879
120;проза;Аксаков С.Т.;Записки ружейного охотника;Воды;;;1866;Галахов 11 изд Том первый;;;СПб;;Галахов 11 изд Том первый__1866
121;проза;Аксаков С.Т.;Записки ружейного охотника;Воды;;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
122;проза;Аксаков С.Т.;Записки ружейного охотника;Воды;;;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
123;проза;Аксаков С.Т.;Записки ружейного охотника;Воды;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
124;проза;Аксаков С.Т.;Записки ружейного охотника;Лес;;;1905;Городецкий и др;;;Москва;;Городецкий и др__1905
125;проза;Аксаков С.Т.;Записки ружейного охотника;Гусь;;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
126;проза;Аксаков С.Т.;Записки ружейного охотника;Лебедь;;;1862;Басистов Для перв чт и расск;;;Москва;;Басистов Для перв чт и расск__1862
127;проза;Аксаков С.Т.;Записки ружейного охотника;Лебедь;;;1868;Басистов (хрест, курс 2);;;Москва;;Басистов (хрест, курс 2)__1868
128;проза;Аксаков С.Т.;Записки ружейного охотника;Лебедь;;;1907;Козьмин II Курс 21 издание;;СУЗ;Москва;;Козьмин II Курс 21 издание__1907
129;проза;Аксаков С.Т.;Записки ружейного охотника;Лебедь;;;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
130;проза;Аксаков С.Т.;Записки ружейного охотника;Лебедь;;;1871;Бураковский;6 кл.;Гимназии;СПб;;Бураковский__1871
131;проза;Аксаков С.Т.;Записки ружейного охотника;Лес;;;1871;Бураковский;;;СПб;;Бураковский__1871
132;проза;Аксаков С.Т.;Записки ружейного охотника;Лес;;;1866;Галахов 11 изд Том первый;;;СПб;;Галахов 11 изд Том первый__1866
133;проза;Аксаков С.Т.;Записки ружейного охотника;Лес;Я сказал о воде, что она краса природы;;1876;Бунаков МНП;;Гимназии, Военные училища, СУЗ;СПб;;Бунаков МНП__1876
134;проза;Аксаков С.Т.;Записки ружейного охотника;Моя первая охота на перепелов;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
135;проза;Аксаков С.Т.;Записки ружейного охотника;Породы леса;;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
136;проза;Аксаков С.Т.;Записки ружейного охотника;Старый лес;;;1879;Невзоров Образцовые 1Ку;1-4 кл.;СУЗ;Казань;;Невзоров Образцовые 1Ку__1879
137;проза;Аксаков С.Т.;Записки ружейного охотника;Степной ковыль;;;1869;Полевой+МНП;1-3 кл.;Гимназии;СПб;;Полевой+МНП__1869
138;проза;Аксаков С.Т.;Записки ружейного охотника;Степь;;;1878;Линдфорс;;;Гельсингфорс;;Линдфорс__1878
139;проза;Аксаков С.Т.;Несколько слов о раннем весеннем уженье;Осень;;;1866;Галахов 11 изд Том первый;;;СПб;;Галахов 11 изд Том первый__1866
140;проза;Аксаков С.Т.;Новые охотничьи заметки;Как кошки ловят рыбу;;;1903;Соколов Родная речь 9 изд;;СУЗ;Москва;;Соколов Родная речь 9 изд__1903
141;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михайловича Багрова;В исходе июня;опустить на сбея полог;1907;Бубликов;;СУЗ, Семинарии, Городские училища;Спб;;Бубликов__1907
142;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1904;Шафров Хрест 2 часть;Четвертый отдел;Городские училища;Москва;;Шафров Хрест 2 часть__1904
143;проза;Аксаков С.Т.;Семейная хроника;Новые места;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
144;проза;Аксаков С.Т.;Семейная хроника;Переселение;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
145;проза;Аксаков С.Т.;Семейная хроника;Водяная мельница;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
146;проза;Аксаков С.Т.;Семейная хроника;Оренбургский край;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
147;проза;Аксаков С.Т.;Семейная хроника;и другие отрывки;;;1894;Поливанов;1-2 кл.;СУЗ;Москва;;Поливанов__1894
148;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
149;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
150;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1868;Басистов (хрест, курс 2);;;Москва;;Басистов (хрест, курс 2)__1868
151;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1905;Городецкий и др;;Городские училища, Женские училища, Учительские семинарии;Москва;;Городецкий и др__1905
152;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1912;Галахов РХ 35изд 1том;;СУЗ;Москва;;Галахов РХ 35изд 1том__1912
153;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1869;Полевой+МНП;1-3 кл.;Гимназии;СПб;;Полевой+МНП__1869
154;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1872;Басистов Курс Второй;3-5 кл.;Гимназии, женские училища 1 разряда;Москва;;Басистов Курс Второй__1872
155;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча;;;1880;Смирновский Хрест 2 ч;3-4 кл.;СУЗ, городские училища;СПб;;Смирновский Хрест 2 ч__1880
156;проза;Аксаков С.Т.;Семейная хроника;Добрый день Степана Михалыча Багрова;;;1903;Воскресенский Хрест 6 изд;;Начальные училища, СУЗ;СПб;;Воскресенский Хрест 6 изд__1903
157;проза;Аксаков С.Т.;Семейная хроника;Рождение давно желанного сына;;;1905;Вейнберг;1-2 кл.;;Москва;;Вейнберг__1905
158;проза;Аксаков С.Т.;Семейная хроника;Степь в конце лета;;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
159;поэзия;Аксаков С.Т.;Семейная хроника;Устройство мельницы;;;1861;Хрест для нар чтения Вып1.;;;Москва;;Хрест для нар чтения Вып1.__1861
160;проза;Аксаков С.Т.;Семейная хроника;Устройство мельницы;;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
161;проза;Аксаков С.Т.;Семейная хроника;Устройство мельницы;;;1862;Басистов Для перв чт и расск;;;Москва;;Басистов Для перв чт и расск__1862
162;проза;Аксаков С.Т.;Семейная хроника;Устройство мельницы;;;1891;Преображенский;1-3 кл.;СУЗ;Москва;;Преображенский__1891
