;author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
498;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5199;18.06.1935;проза;отрывок;Детство;4;Литературный современник;
499;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5204;23.06.1935;проза;отрывок;Детство;5;Литературный современник;
500;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5206;25.06.1935;проза;отрывок;Детство;4;Литературный современник;
501;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5211;30.06.1935;проза;отрывок;Детство;4;Литературный современник;
502;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5218;07.07.1935;проза;отрывок;Детство;5—6;Литературный современник;
503;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5224;13.07.1935;проза;отрывок;Детство;2;Литературный современник;
504;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5232;21.07.1935;проза;отрывок;Детство;4;Литературный современник;
505;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5234;23.07.1935;проза;отрывок;Детство;3;Литературный современник;
506;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5239;28.07.1935;проза;отрывок;Детство;4;Литературный современник;
507;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5241;30.07.1935;проза;отрывок;Детство;4;Литературный современник;
508;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5246;04.08.1935;проза;отрывок;Детство;4;Литературный современник;
509;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5248;06.08.1935;проза;отрывок;Детство;3;Литературный современник;
510;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5253;11.08.1935;проза;отрывок;Детство;4;Литературный современник;
511;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5255;13.08.1935;проза;отрывок;Детство;4;Литературный современник;
512;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5260;18.08.1935;проза;отрывок;Детство;4;Литературный современник;
513;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5262;20.08.1935;проза;отрывок;Детство;3, 5;Литературный современник;
514;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5267;25.08.1935;проза;отрывок;Детство;4;Литературный современник;
515;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5281;08.09.1935;проза;отрывок;Лицей;7;Литературный современник;
516;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5288;15.09.1935;проза;отрывок;Лицей;6;Литературный современник;
517;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5295;22.09.1935;проза;отрывок;Лицей;6;Литературный современник;
518;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5302;29.09.1935;проза;отрывок;Лицей;6;Литературный современник;
519;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5330;27.10.1935;проза;отрывок;Лицей;5;Литературный современник;
520;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5344;10.11.1935;проза;отрывок;Лицей;4;Литературный современник;
521;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5351;17.11.1935;проза;отрывок;Лицей;5;Литературный современник;
522;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5372;08.12.1935;проза;отрывок;Лицей;5;Литературный современник;
523;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5386;22.12.1935;проза;отрывок;Лицей;5;Литературный современник;
524;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5393;29.12.1935;проза;отрывок;Лицей;5;Литературный современник;
525;Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5400;05.01.1936;проза;отрывок;Лицей;4;Литературный современник;
526;Зощенко М.М.;Рассказ об имениннице;Последние новости;Париж;газета;№5511;25.04.1936;проза;полный текст;;5;Голубая книга;
527;Колосов А.;Случай на лугу;Последние новости;Париж;газета;№5630;23.08.1936;проза;полный текст;;6;Правда;
528;Зощенко М.М.;Поминки;Последние новости;Париж;газета;№5761;01.01.1937;проза;полный текст;;6;;
529;Ардов В.;Свободная торговля;Последние новости;Париж;газета;№5765;05.01.1937;проза;полный текст;;5;Крокодил;
530;Зощенко М.М.;Веселая игра;Последние новости;Париж;газета;№5888;09.05.1937;проза;полный текст;;5;;
531;Бабель И.Э.;Поцелуй;Последние новости;Париж;газета;№6011;09.09.1937;проза;полный текст;;4;Красная новь;
532;Бабель И.Э.;Ди Грассо;Последние новости;Париж;газета;№6019;17.09.1937;проза;полный текст;;5;Огонек;
533;Катаев В.;Немцы;Последние новости;Париж;газета;№6118;25.12.1937;проза;полный текст;;7;;
534;Катаев В.;Сваты;Последние новости;Париж;газета;№6125;01.01.1938;проза;полный текст;;6;;
535;Зощенко М.М.;Без радости любовь;Последние новости;Париж;газета;№6388;22.09.1938;проза;полный текст;;4;;
536;Зощенко М.М.;Клинический случай;Последние новости;Париж;газета;№6434;07.11.1938;проза;полный текст;;3;Крокодил;
537;Зощенко М.М.;Происшествие;Последние новости;Париж;газета;№6667;29.06.1939;проза;полный текст;;4;;
538;Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6671;03.07.1939;проза;полный текст;Синий лапоть;3;;
539;Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6671;03.07.1939;проза;полный текст;Копыто;3;;
540;Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6676;08.07.1939;проза;полный текст;Звери-кормильцы;4;Новый мир;
541;Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6676;08.07.1939;проза;полный текст;Пиковая дама;4;Новый мир;
542;Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6682;14.07.1939;проза;полный текст;Лимон;3;Новый мир;
543;Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6682;14.07.1939;проза;полный текст;Лада;3;Новый мир;
544;Волошин М.;Неопалимая купина;Руль;Берлин;газета;№120;09.12.1920;стихи;полный текст;;3;;
545;Вольнов И.;Сход;Руль;Берлин;газета;№1038;04.05.1924;проза;отрывок;;2—3;Красная новь;
546;Вольнов И.;Сход;Руль;Берлин;газета;№1039;06.05.1924;проза;отрывок;;2—3;Красная новь;
547;Пришвин М.;Голубиная книга;Руль;Берлин;газета;№1044;11.05.1924;проза;полный текст;;2—3;Красная новь;
548;Леонов Л.;Записи некоторых эпизодов сделанные в городе Гогулеве Андреем Петровичем Ковякиным;Руль;Берлин;газета;№1062;03.06.1924;проза;отрывок;;2—3;Русский современник;
549;Сологуб Ф.;Не слышу слов, но мне понятна;Руль;Берлин;газета;№1068;11.06.1924;стихи;полный текст;;4;Русский современник;
550;Сологуб Ф.;Я сам закон игры установил;Руль;Берлин;газета;№1068;11.06.1924;стихи;полный текст;;4;Русский современник;
551;Сологуб Ф.;Безумствует жестокий рок;Руль;Берлин;газета;№1068;11.06.1924;стихи;полный текст;;4;Русский современник;
552;Сологуб Ф.;Ходит трепало;Руль;Берлин;газета;№1068;11.06.1924;стихи;полный текст;;4;Русский современник;
553;Леонов Л.;Конец мелкого человека;Руль;Берлин;газета;№1075;19.06.1924;проза;отрывок;;2—3;Красная новь;
554;Леонов Л.;Конец мелкого человека;Руль;Берлин;газета;№1076;20.06.1924;проза;отрывок;;2—3;Красная новь;
555;Инбер В.;Квартира №32;Руль;Берлин;газета;№1107;26.07.1924;проза;полный текст;;2—3;Красная Нива;
556;Шишков В.;Кострома;Руль;Берлин;газета;№1125;16.08.1924;проза;полный текст;;4;Известия;
557;Меньшой А. (А.Г. Гай);Старец Анисим;Руль;Берлин;газета;№1156;21.09.1924;проза;полный текст;;2—3;Известия;
558;Пильняк Б.А.;Отрывки из дневника;Руль;Берлин;газета;№1180;19.10.1924;проза;полный текст;;2—3;Круг;
559;Толстой А.Н.;Заговор императрицы;Руль;Берлин;газета;№1246;09.01.1925;проза;отрывок;2 картина первого действия;2—3;Жизнь искусства;
560;Добычин Л.;Встречи с Лиз;Руль;Берлин;газета;№1275;12.02.1925;проза;полный текст;;2—3;Красная новь;
561;Инбер В.;Беспомощный учитель;Руль;Берлин;газета;№1281;19.02.1925;проза;полный текст;;2—3;Огонек;
562;Афрамеев Н.;Сверчок;Руль;Берлин;газета;№1297;10.03.1925;проза;полный текст;;2—3;Красная Нива;
563;Инбер В.;Трудная жизнь Муры;Руль;Берлин;газета;№1314;29.03.1925;проза;полный текст;;2—3;Огонек;
564;Есенин С.А.;Персидские мотивы;Руль;Берлин;газета;№1314;29.03.1925;стихи;полный текст;;8;;
565;Радимов П.;Телега;Руль;Берлин;газета;№1314;29.03.1925;проза;полный текст;;8;;
566;Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1320;05.04.1925;проза;отрывок;Три кита;8;Красная новь;
567;Пильняк Б.А.;На могиле Чехова;Руль;Берлин;газета;№1321;07.04.1925;проза;полный текст;;2;Красная новь;
568;Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1323;09.04.1925;проза;отрывок;Рябая корова;2—3;Красная новь;
569;Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1325;12.04.1925;проза;отрывок;Инструкция;5;Красная новь;
570;Зощенко М.М.;Самородок;Руль;Берлин;газета;№1325;12.04.1925;проза;полный текст;;7;Красная новь;
571;Маяковский В.В.;Тамара и Демон;Руль;Берлин;газета;№1325;12.04.1925;стихи;полный текст;;8;Красная новь;
572;Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1330;19.04.1925;проза;отрывок;Святая женщина;8;Красная новь;
573;Зощенко М.М.;Мещанство;Руль;Берлин;газета;№1330;19.04.1925;проза;полный текст;;8;Бегемот;
574;Есенин С.А.;Несказанное, синее, нежное;Руль;Берлин;газета;№1336;26.04.1925;стихи;полный текст;;5;Красная новь;
575;Романов П.;Терпеливый народ;Руль;Берлин;газета;№1336;26.04.1925;проза;полный текст;;8;Красная новь;
576;Федорович В.;;Руль;Берлин;газета;№1336;26.04.1925;проза;полный текст;;7;;
577;Акульшин Р.;О чем шепчет деревня;Руль;Берлин;газета;№1349;12.05.1925;проза;полный текст;;2—3;Красная Нива;
578;Рен Л.;Охраняемое здравие;Руль;Берлин;газета;№1359;24.05.1925;проза;полный текст;;7;;
579;Флит Б.;Не догонишь;Руль;Берлин;газета;№1359;24.05.1925;проза;полный текст;;7;;
580;Козырев М.;Красная свадьба;Руль;Берлин;газета;№1359;24.05.1925;проза;полный текст;;8;Красная Нива;
581;Карпов Н.А.;Лекпом Коновалов;Руль;Берлин;газета;№1365;31.05.1925;проза;полный текст;;7;;
582;Зощенко М.М.;Доходная статья;Руль;Берлин;газета;№1365;31.05.1925;проза;полный текст;;7—8;;
583;Зощенко М.М.;Счастливое детство;Руль;Берлин;газета;№1360;07.06.1925;проза;полный текст;;7;Бегемот;
584;Пильняк Б.А.;Гибель «Свердрупа»;Руль;Берлин;газета;№1376;14.06.1925;проза;полный текст;;2—3;Красная новь;
585;Романов П.;Вредная штука;Руль;Берлин;газета;№1380;19.06.1925;проза;полный текст;;2—3;Красная новь;
586;Романов П.;Зеленая армия или уличные командиры;Руль;Берлин;газета;№1382;21.06.1925;проза;полный текст;;2—3;Красная новь;
587;Никитин Н.;Перед судом;Руль;Берлин;газета;№1386;26.06.1925;проза;полный текст;;2—3;Прожектор;
588;Инбер В.;Соловей и роза;Руль;Берлин;газета;№1388;28.06.1925;проза;полный текст;;2—3;Прожектор;
589;Ардов В.;Меры пресечения;Руль;Берлин;газета;№1388;28.06.1925;проза;полный текст;;7;Красный перец;
590;Ломакин И.;Сверчок;Руль;Берлин;газета;№1394;05.07.1925;проза;полный текст;;8;Бегемот;
591;Бабель И.Э.;Линия и цвет;Руль;Берлин;газета;№1394;05.07.1925;проза;полный текст;;9;;
592;Романов П.;Видение;Руль;Берлин;газета;№1400;12.07.1925;проза;отрывок;;2—3;Красная новь;
593;Романов П.;Видение;Руль;Берлин;газета;№1401;14.07.1925;проза;отрывок;;2—3;Красная новь;
594;Романов П.;Видение;Руль;Берлин;газета;№1403;16.07.1925;проза;отрывок;;2—3;Красная новь;
595;Романов П.;Видение;Руль;Берлин;газета;№1404;17.07.1925;проза;отрывок;;2—3;Красная новь;
596;Маяковский В.В.;Еду;Руль;Берлин;газета;№1406;19.07.1925;стихи;отрывок;;5;Прожектор;
597;Пильняк Б.А.;Россия в полете;Руль;Берлин;газета;№1411;25.07.1925;проза;полный текст;;2—3;Известия;
598;Саянский Л.;Круговорот;Руль;Берлин;газета;№1412;26.07.1925;проза;полный текст;;5;Бегемот;
599;Зощенко М.М.;Уличное происшествие;Руль;Берлин;газета;№1412;26.07.1925;проза;полный текст;;5;Бегемот;
600;Курочкин С.;Шипы и розы;Руль;Берлин;газета;№1412;26.07.1925;проза;полный текст;;5—6;Бегемот;
601;Маяковский В.В.;Летающий пролетарий;Руль;Берлин;газета;№1418;02.08.1925;стихи;полный текст;;5;Красная Нива;
602;Есенин С.А.;Несказанное, синее, нежное;Руль;Берлин;газета;№1418;02.08.1925;стихи;полный текст;;5;Красная Нива;
603;Либединский Ю.;Комиссары;Руль;Берлин;газета;№1421;06.08.1925;проза;отрывок;На переломе;2—3;Звезда;
604;Инбер В.;Столица на Волге;Руль;Берлин;газета;№1424;09.08.1925;проза;полный текст;;5;Огонек;
605;Форш О.Д.;Хируроид;Руль;Берлин;газета;№1429;15.08.1925;проза;полный текст;;2—3;;
606;Романов П.;Козявки;Руль;Берлин;газета;№1433;20.08.1925;проза;полный текст;;2—3;Прожектор;
607;Свэн И.;Профессионал;Руль;Берлин;газета;№1436;23.08.1925;проза;полный текст;;5—6;Бегемот;
608;Романов П.;Хороший комитет;Руль;Берлин;газета;№1439;27.08.1925;проза;полный текст;;2—3;Красная новь;
609;Федин К.А.;Рассказ об одном утре;Руль;Берлин;газета;№1442;30.08.1925;проза;полный текст;;2—3;;
610;Романов П.;Дар Божий;Руль;Берлин;газета;№1448;06.09.1925;проза;полный текст;;2—3;Красная новь;
611;Зощенко М.М.;Тормаз Вестингауза;Руль;Берлин;газета;№1448;06.09.1925;проза;полный текст;;7;Бегемот;
612;Пильняк Б.А.;Пермь;Руль;Берлин;газета;№1454;13.09.1925;проза;отрывок;;5;Известия;
613;Павлов В.;Хамелеон (почти по Чехову);Руль;Берлин;газета;№1454;13.09.1925;проза;полный текст;;7;Бегемот;
614;Тренев К.;В голодной деревне;Руль;Берлин;газета;№1460;20.09.1925;проза;полный текст;;2—3;Новый мир;
615;Инбер В.;На гидроплане;Руль;Берлин;газета;№1464;25.09.1925;проза;отрывок;;2—3;Прожектор;
616;Романов П.;Скверный товар;Руль;Берлин;газета;№1466;27.09.1925;проза;полный текст;;2—3;Красная новь;
617;Романов П.;Верующие;Руль;Берлин;газета;№1546;03.01.1926;проза;полный текст;;2—3;Собрание сочинений Т. 1;
618;Романов П.;Нахлебники;Руль;Берлин;газета;№1546;03.01.1926;проза;полный текст;;7;Сборник рассказов;
619;Пастернак Б.Л.;Зверинец;Руль;Берлин;газета;№1546;03.01.1926;проза;полный текст;;7—8;Огонек;
620;Холмский Г.К.;Циркотрюки;Руль;Берлин;газета;№1546;03.01.1926;проза;полный текст;;8;Крокодил;
621;Шишков В.;Кольцо;Руль;Берлин;газета;№1550;08.01.1926;проза;отрывок;;2—3;Красная новь;
622;Шишков В.;Кольцо;Руль;Берлин;газета;№1551;09.01.1926;проза;отрывок;;2—3;Красная новь;
623;Селиванов А.;Петербургские разговоры;Руль;Берлин;газета;№1552;10.01.1926;проза;полный текст;;5—6;Красная газета;
624;Огнев Н.;Видения;Руль;Берлин;газета;№1555;14.01.1926;проза;отрывок;;2—3;Красная новь;
625;"Низовой П. 
";Лото;Руль;Берлин;газета;№1564;24.01.1926;проза;полный текст;;2—4;Красная Нива;
626;Каменский В.;В деревенском театре;Руль;Берлин;газета;№1564;24.01.1926;проза;полный текст;;5;Жизнь искусства;
627;Роман Р.;Жертва;Руль;Берлин;газета;№1570;31.01.1926;проза;полный текст;;5—6;Сборник комсомольских  юмористических рассказов;
628;Соколов-Микитов И.;Мрак;Руль;Берлин;газета;№1574;05.02.1926;проза;полный текст;;2—3;Красная новь;
629;Есенин С.А.;Черный человек;Руль;Берлин;газета;№1576;07.02.1926;стихи;полный текст;;4;;
630;Зощенко М.М.;Сказки для детей;Руль;Берлин;газета;№1576;07.02.1926;проза;полный текст;;5—6;Юмористические рассказы;
631;Пильняк Б.А.;Грэго-тримунтан;Руль;Берлин;газета;№1579;11.02.1926;проза;отрывок;;2—3;Новый мир;
632;Пильняк Б.А.;Грэго-тримунтан;Руль;Берлин;газета;№1580;12.02.1926;проза;отрывок;;2—3;Новый мир;
633;Романов П.;Разговор;Руль;Берлин;газета;№1582;14.02.1926;проза;полный текст;;4;Красная Нива;
634;Зощенко М.М.;Письма в редакцию;Руль;Берлин;газета;№1582;14.02.1926;проза;полный текст;;5;Сборник рассказов;
635;Лидин В.;Голубое руно;Руль;Берлин;газета;№1583;16.02.1926;проза;полный текст;;2—3;Огонек;
636;Стонов Д.;Провинциальное бытие;Руль;Берлин;газета;№1587;20.02.1926;проза;полный текст;;2;Известия;
637;Архангельский А.;Вл. Маяковский;Руль;Берлин;газета;№1588;21.02.1926;стихи;полный текст;;6;Красная Нива;
638;Подъячев С.П.;Не в бровь, а в глаз;Руль;Берлин;газета;№1597;04.03.1926;проза;полный текст;;2—3;Прожектор;
639;Стонов Д.;Хрущев;Руль;Берлин;газета;№1604;12.03.1926;проза;отрывок;;4—5;Новый мир;
640;Стонов Д.;Хрущев;Руль;Берлин;газета;№1605;13.03.1926;проза;отрывок;;2—3;Новый мир;
641;Стонов Д.;Хрущев;Руль;Берлин;газета;№1606;14.03.1926;проза;отрывок;;4;Новый мир;
642;Романов П.;Вредный человек;Руль;Берлин;газета;№1606;14.03.1926;проза;полный текст;;5;Прожектор;
643;Стонов Д.;Хрущев;Руль;Берлин;газета;№1608;17.03.1926;проза;отрывок;;4—5;Новый мир;
644;Акульшин Р.;? Нежных сердец;Руль;Берлин;газета;№1612;21.03.1926;проза;полный текст;;5;Красная новь;
645;Пильняк Б.А.;В Палестину;Руль;Берлин;газета;№1615;25.03.1926;проза;полный текст;;2—3;Красная новь;
646;Толстой А.Н.;Азеф;Руль;Берлин;газета;№1618;28.03.1926;проза;отрывок;;2—3;Красная новь;
647;Щеголев П.;Азеф;Руль;Берлин;газета;№1618;28.03.1926;проза;отрывок;;2—3;Красная новь;
648;Есенин С.А.;Вижу сон. Дорога черная;Руль;Берлин;газета;№1618;28.03.1926;стихи;полный текст;;5;;
649;Романов П.;Блаженные;Руль;Берлин;газета;№1618;28.03.1926;проза;полный текст;;5;Красная новь;
651;Толстой А.Н.;Азеф;Руль;Берлин;газета;№1619;30.03.1926;проза;отрывок;;2—3;Красная новь;
652;Щеголев П.;Азеф;Руль;Берлин;газета;№1619;30.03.1926;проза;отрывок;;2—3;Красная новь;
653;Толстой А.Н.;Азеф;Руль;Берлин;газета;№1620;31.03.1926;проза;отрывок;;4—5;Красная новь;
654;Щеголев П.;Азеф;Руль;Берлин;газета;№1620;31.03.1926;проза;отрывок;;4—5;Красная новь;
655;Толстой А.Н.;Азеф;Руль;Берлин;газета;№1622;02.04.1926;проза;отрывок;;2—3;Красная новь;
656;Щеголев П.;Азеф;Руль;Берлин;газета;№1622;02.04.1926;проза;отрывок;;2—3;;
657;Владимирский В.;Город Та-Чен;Руль;Берлин;газета;№1623;04.04.1926;проза;полный текст;;7—8;Новый мир;
658;Стонов Д.;Приезд;Руль;Берлин;газета;№1628;11.04.1926;проза;отрывок;;2—3;Красная Нива;
659;Чуковский К.И.;Детское;Руль;Берлин;газета;№1628;11.04.1926;проза;полный текст;;5;Красная газета;
660;Стонов Д.;Приезд;Руль;Берлин;газета;№1629;13.04.1926;проза;отрывок;;2—3;Красная газета;
661;Романов П.;Актриса;Руль;Берлин;газета;№1634;18.04.1926;проза;полный текст;;2—3;Красная новь;
662;Князев В.В.;В пылетресте тысяч с двести;Руль;Берлин;газета;№1634;18.04.1926;проза;полный текст;;5;Красная газета;
663;Жеребцов П.;Победитель;Руль;Берлин;газета;№1634;18.04.1926;проза;полный текст;;5;Красная Нива;
664;Пузанов В.;Крепкие корни;Руль;Берлин;газета;№1637;22.04.1926;проза;полный текст;;2—3;Прожектор;
665;Брыкин Н.;Кузьма Ковтун;Руль;Берлин;газета;№1640;25.04.1926;проза;полный текст;;2—3;Правда;
666;Романов П.;Первая любовь;Руль;Берлин;газета;№1641;27.04.1926;проза;отрывок;;2—3;Новый мир;
667;Романов П.;Первая любовь;Руль;Берлин;газета;№1642;28.04.1926;проза;отрывок;;6;Новый мир;
668;Романов П.;Первая любовь;Руль;Берлин;газета;№1643;29.04.1926;проза;отрывок;;2—3;Новый мир;
669;Есенин С.А.;Страна негодяев;Руль;Берлин;газета;№1645;02.05.1926;стихи;отрывок;;5;Красная новь;
670;Акульшин Р.;Острастка;Руль;Берлин;газета;№1645;02.05.1926;проза;полный текст;;8;Перевал;
671;Акульшин Р.;Находка;Руль;Берлин;газета;№1648;06.05.1926;проза;полный текст;;2—3;Красная новь;
672;Губер Б.;Новое и жеребцы;Руль;Берлин;газета;№1649;07.05.1926;проза;отрывок;;2—3;Перевал;
673;Губер Б.;Новое и жеребцы;Руль;Берлин;газета;№1650;08.05.1926;проза;отрывок;;4;Перевал;
674;Губер Б.;Новое и жеребцы;Руль;Берлин;газета;№1651;09.05.1926;проза;отрывок;;3—4;Перевал;
675;Губер Б.;Новое и жеребцы;Руль;Берлин;газета;№1652;11.05.1926;проза;отрывок;;2—3;Перевал;
676;Шишков В.;Роковой выстрел;Руль;Берлин;газета;№1656;16.05.1926;проза;полный текст;;2—3;Красная Нива;
677;Акульшин Р.;Разговоры;Руль;Берлин;газета;№1659;20.05.1926;проза;отрывок;;2—3;Перевал;
678;Акульшин Р.;Разговоры;Руль;Берлин;газета;№1660;21.05.1926;проза;отрывок;;5;Перевал;
679;Тренев К.;Разговоры;Руль;Берлин;газета;№1662;23.05.1926;проза;полный текст;;5—6;Красная Нива;
680;Романов П.;Непонятное явление;Руль;Берлин;газета;№1667;30.05.1926;проза;отрывок;;4, 7;Красная Нива;
682;Романов П.;Непонятное явление;Руль;Берлин;газета;№1668;01.06.1926;проза;отрывок;;4;Красная Нива;
683;Смирнов А.;Герои;Руль;Берлин;газета;№1672;05.06.1926;проза;полный текст;;2—3;Прожектор;
684;Веселый А.;Муха в патоке;Руль;Берлин;газета;№1676;10.06.1926;проза;полный текст;;2—3;Красная Нива;
685;Блок А.А.;Солдатская сказка;Руль;Берлин;газета;№1679;13.06.1926;проза;полный текст;;5;;
686;Гуревич И.;Деловой подход;Руль;Берлин;газета;№1679;13.06.1926;проза;полный текст;;6;Красная газета;
687;Тамарин А.;На курорте;Руль;Берлин;газета;№1688;24.06.1926;проза;полный текст;;2—3;Новая Россия;
688;Яровой П.;Порченный;Руль;Берлин;газета;№1691;27.06.1926;проза;полный текст;;4—5;Прожектор;
689;Козырев М.;Большое начальство;Руль;Берлин;газета;№1691;27.06.1926;проза;полный текст;;6;Веселые рассказы;
690;Козырев М.;Повесть о собаке;Руль;Берлин;газета;№1694;01.07.1926;проза;отрывок;;2—3;Новая Россия;
691;Козырев М.;Повесть о собаке;Руль;Берлин;газета;№1695;02.07.1926;проза;отрывок;;2—3;Новая Россия;
692;Козырев М.;Повесть о собаке;Руль;Берлин;газета;№1696;03.07.1926;проза;отрывок;;2—3;Новая Россия;
693;Ряховский В.;Новый тулуп;Руль;Берлин;газета;№1697;04.07.1926;проза;полный текст;;4, 7;Красная Нива;
694;Козырев М.;Удобный человек;Руль;Берлин;газета;№1697;04.07.1926;проза;полный текст;;6—7;Веселые рассказы;
695;Козырев М.;В суде;Руль;Берлин;газета;№1698;06.07.1926;проза;полный текст;;4;Веселые рассказы;
696;Козырев М.;Красная свадьба;Руль;Берлин;газета;№1701;09.07.1926;проза;полный текст;;4;Веселые рассказы;
697;Козырев М.;По-новому;Руль;Берлин;газета;№1703;11.07.1926;проза;полный текст;;5—6;Веселые рассказы;
698;Никитин И.;Уклон;Руль;Берлин;газета;№1706;15.07.1926;проза;отрывок;;2—3;Звезда;
699;Никитин И.;Уклон;Руль;Берлин;газета;№1707;16.07.1926;проза;отрывок;;2—3;Звезда;
700;Никитин И.;Уклон;Руль;Берлин;газета;№1708;17.07.1926;проза;отрывок;;2—3;Звезда;
701;Никулин Л.;Организатор;Руль;Берлин;газета;№1712;22.07.1926;проза;полный текст;;2—3;Огонек;
702;Яковлев А.;Бабья доля;Руль;Берлин;газета;№1714;24.07.1926;проза;полный текст;;2—3;Новый мир;
703;Романов П.;Право на любовь;Руль;Берлин;газета;№1715;25.07.1926;проза;отрывок;;2–3;Новый мир;
704;Портянкин Р.;Неожиданная карьера;Руль;Берлин;газета;№1715;25.07.1926;проза;полный текст;;5—6;Крокодил;
705;Романов П.;Право на любовь;Руль;Берлин;газета;№1716;27.07.1926;проза;отрывок;;2—3;Новый мир;
706;Романов П.;Право на любовь;Руль;Берлин;газета;№1717;28.07.1926;проза;отрывок;;5;Новый мир;
707;Романов П.;Право на любовь;Руль;Берлин;газета;№1718;29.07.1926;проза;отрывок;;2—3;Новый мир;
708;Гуревич И.;Головоломка;Руль;Берлин;газета;№1720;31.07.1926;проза;;;4;Красная газета;
709;Лидин В.;Растрата Глотова;Руль;Берлин;газета;№1721;01.08.1926;проза;отрывок;;2—4;Красная новь;
710;Шкапская М.;В Омске;Руль;Берлин;газета;№1722;03.08.1926;проза;полный текст;;4;Красная газета;
711;Яковлев А.;Лесная тайна;Руль;Берлин;газета;№1724;05.08.1926;проза;полный текст;;2–3;Красная Нива;
712;Козырев М.;Молодой человек;Руль;Берлин;газета;№1725;06.08.1926;проза;полный текст;;4;Веселые рассказы;
713;Василев И.;Кровь;Руль;Берлин;газета;№1726;07.08.1926;стихи;отрывок;;2—3;Звезда;
714;Василев И.;Кровь;Руль;Берлин;газета;№1727;08.08.1926;стихи;отрывок;;7;Звезда;
715;Инбер В.;В Москве;Руль;Берлин;газета;№1730;12.08.1926;проза;полный текст;;2—3;Красная газета;
716;Кольцов М.;Перелет Москва—Ангора;Руль;Берлин;газета;№1738;21.08.1926;проза;полный текст;;2—3;Известия;
717;Инбер В.;Чеснок в чемодане;Руль;Берлин;газета;№1739;22.08.1926;проза;полный текст;;4, 7, 9;Прожектор;
718;Алексеев Г.;Иные глаза;Руль;Берлин;газета;№1739;22.08.1926;проза;полный текст;;5—6;Прожектор;
719;Гордеев И.;Кулик;Руль;Берлин;газета;№1744;28.08.1926;проза;полный текст;;2;Красная Нива;
720;Семеновский Д.;Дорога;Руль;Берлин;газета;№1745;29.08.1926;стихи;полный текст;;5;Красная Нива;
721;Городецкий С.;Завтрашнее солнце;Руль;Берлин;газета;№1746;31.08.1926;проза;отрывок;;2—3;Красная новь;
722;Бабель И.Э.;Измена;Руль;Берлин;газета;№1749;03.09.1926;проза;полный текст;;2–3;Пролетарий;
723;Маяковский В.В.;В мастерской стиха;Руль;Берлин;газета;№1751;05.09.1926;проза;полный текст;;4, 7;Новый мир;
724;Лидин В.;Сын человеческий;Руль;Берлин;газета;№1752;07.09.1926;проза;отрывок;;2—3;Пролетарий;
725;Лидин В.;Сын человеческий;Руль;Берлин;газета;№1753;08.09.1926;проза;отрывок;;4;Пролетарий;
726;Ляшко Н.;Аппарат Олега Грозина;Руль;Берлин;газета;№1757;12.09.1926;проза;полный текст;;2—4;Пролетарий;
727;Низовой П.;Новый быт;Руль;Берлин;газета;№1760;16.09.1926;проза;полный текст;;2—3;Красная новь;
728;Пришвин М.;Весна человека;Руль;Берлин;газета;№1762;18.09.1926;проза;полный текст;;2—3;Родники;
