number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_textbook;compiler;place_of_edition;year_of_edition;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
2118;undefined;undefined;Обед;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2119;undefined;undefined;Не будет и скуки, как заняты руки;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2120;undefined;undefined;Где вы были?;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2121;Толстой Л.Н.;м;Как Ваня спас братишку;undefined;проза;1875;рассказ;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2122;Толстой Л.Н.;м;Знание лучше богатство;undefined;проза;1875;рассказ;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2123;Мельников-Печерский П.И.;м;В лесах;Сиротка Груня;проза;1871;повесть;нет;да;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;Слова изменены, пересказ;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2124;Суриков И.З.;м;Бабушка Маланья;undefined;поэзия;1877;стихотворение;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2125;Фет А.А.;м;Дома;undefined;поэзия;1842;стихотворение;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2126;Толстой Л.Н.;м;Сережа и чиж;undefined;проза;1875;стихотворение;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2127;undefined;undefined;В сумреках;undefined;проза;undefined;undefined;undefined;undefined;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
