number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_textbook;compiler;place_of_edition;year_of_edition;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
1;фольклор;undefined;За рекою, за быстрою;Песни бытовы;поэзия;фольклор;песня;нет;нет;За рекою за быстрою;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
2;фольклор;undefined;Егорий ты наш храбрый;undefined;поэзия;фольклор;песня;нет;нет;Егорий ты наш храбрый;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
3;фольклор;undefined;Ах, кабы на цветы;undefined;поэзия;фольклор;песня;нет;нет;Ах, кабы на цветы да не морозы;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
4;фольклор;undefined;Уж как пал туман на сине море;undefined;поэзия;фольклор;песня;да;нет;Уж как пал туман на сине море;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
5;фольклор;undefined;Светел месяц, родимый батюшка;undefined;поэзия;фольклор;песня;нет;нет;Светел месяц родимый батюшка;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
6;фольклор;undefined;Не шуми, мати, зеленая дубровушка;бытовые песни;поэзия;фольклор;песня;да;нет;Не шуми, мати, зеленая дубравушка;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
7;фольклор;undefined;Солнце, Мороз и Ветер;undefined;поэзия;фольклор;сказка;нет;да;Идет мужичок по дороге;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
8;фольклор;undefined;Морозко;undefined;поэзия;фольклор;сказка;да;нет;У матери была падчерица да родная дочка;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
9;фольклор;undefined;Нужда;undefined;поэзия;фольклор;сказка;да;да;Жили-были два брата;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
10;фольклор;undefined;Лиса и волк;undefined;поэзия;фольклор;сказка;да;да;Жили-были дед да баба;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
11;фольклор;undefined;Былина о Святогоре;undefined;поэзия;дрл;былина;нет;да;Снарядился Святогор во чисто поле гуляти;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
12;фольклор;undefined;Былина о Волхе Всеславьевиче;undefined;поэзия;дрл;былина;нет;нет;А и на небе просветя светел месяц;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
13;фольклор;undefined;Вольга Святославович и Микула Селянинович;Былина о Вольге Святославиче и Микуле Селяниновиче;поэзия;дрл;былина;нет;нет;Когда воссияло солнце красное;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
14;фольклор;undefined;Илья Муромец;Былина об Илье Муромце;поэзия;дрл;былина;нет;нет;Кто бы сказал про старое;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
15;фольклор;undefined;Былина о том, как перевелись богатыри на Святой Руси;undefined;поэзия;дрл;былина;нет;нет;Было так, на восходе красного солнышка;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
16;фольклор;undefined;Былина о Садке, богатом госте;undefined;поэзия;дрл;былина;нет;нет;Во славном во Нове-граде;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
17;фольклор;undefined;Былина о Василии Буслаеве;undefined;проза;дрл;былина;нет;да;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
18;фольклор;undefined;Песня про Щелкана Дудентьевича;undefined;поэзия;дрл;песня;нет;нет;Аи деялось в Орде;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
19;фольклор;undefined;Песня про гнев Ивана Грозного на сына;undefined;поэзия;дрл;песня;нет;нет;В старые годы, прежние;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
20;фольклор;undefined;О вознесении Христовом;undefined;поэзия;дрл;духовный стих;нет;да;На кого-то ты нас покидаешь?;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
21;фольклор;undefined;Апокриф о Соломне;undefined;проза;дрл;апокриф;нет;нет;Приехала в гости к Соломону царица южная;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
22;фольклор;undefined;Начальная летопись;undefined;проза;дрл;летопись;нет;да;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
23;Мономах;м;Содержание Поучения Владимира (Поучение Владимира);undefined;проза;дрл;поучение;нет;да;Первое, страх имейте Божий;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
24;фольклор;undefined;Слово о полку Игореве;undefined;проза;дрл;слово;нет;да;Не пристало, нам, братцы;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
25;Курбский, Грозный;м;Переписка Ивана Грозного с Курбским;undefined;проза;1564-1579;письмо;нет;да;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
26;фольклор;undefined;Домострой;undefined;проза;дрл;undefined;нет;да;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
27;фольклор;undefined;Везждество;undefined;поэзия;дрл;стихотворение;нет;нет;Веждеству образ древнии даяху;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
28;фольклор;undefined;Притча о блудном сыне;Комедия о блудном сыне;проза;дрл;комедия;нет;да;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
29;фольклор;undefined;Горе-злочастие;Горе-Злосчастие;поэзия;дрл;повесть;нет;да;Всё смиряючи нас, наказуя;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
30;фольклор;undefined;Повесть о Фроле Скобееве;Гистория о российском дворянине Фроле Скобееве;проза;дрл;история;нет;да;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
31;фольклор;undefined;Шемякин суд;undefined;проза;дрл;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
32;фольклор;undefined;О Ерше Ершовиче сыне Щетинникове;undefined;проза;дрл;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
33;Кантемир А.Д.;м;К уму своему;undefined;поэзия;1729;сатира;undefined;нет;Уме, недозрелый плод ндолгой науки!;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
34;Ломоносов М.В.;м;Ода на день восшествия на всероссийский престол ее величества государыни императрицы Елисаветы Петровны 1747 года;"Ода ""На день восществия на престол императрицы Елисаветы""";поэзия;1747;ода;нет;нет;Царей и царст земных отрада;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
35;Ломоносов М.В.;м;Утреннее размышление о Божием Величества;undefined;поэзия;1743;ода;да;нет;Уже прекрасное светило;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
36;Ломоносов М.В.;м;Вечернее размышление о Божием величестве при случае великого северного сияния;undefined;поэзия;1743;ода;да;нет;Лицо свое скрывает день;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
37;Сумароков А.П.;м;Тресотиниус;undefined;драма;1786;пьеса;нет;нет;Что за дело имеет вы до меня, государь мой;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
38;Фонвизин Д.И.;м;Бригадир;undefined;драма;1786;комедия;нет;нет;Слушай, Иван, я редко с молоду краснел;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
39;Фонвизин Д.И.;м;Недоросль;undefined;драма;1782;комедия;нет;нет;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
40;Державин Г.Р.;м;Фелица;undefined;поэзия;1782;ода;нет;нет;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;можно прописать отсутсвующие отрывки;Осмоловский.Ч.2_1921
41;Державин Г.Р.;м;Видение мурзы;undefined;поэзия;1784;ода;да;нет;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
42;Державин Г.Р.;м;Водопад;undefined;поэзия;1791;ода;нет;нет;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
43;Державин Г.Р.;м;Вельможа;undefined;поэзия;1784;ода;нет;нет;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
44;Державин Г.Р.;м;На смерть князя Мещерского;undefined;поэзия;1779;ода;да;нет;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
45;Державин Г.Р.;м;Бог;undefined;поэзия;1784;ода;да;нет;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
46;Державин Г.Р.;м;На взятие Варшавы;undefined;поэзия;1794;ода;нет;нет;Вихрь полуночный, летит богатырь!;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
47;Державин Г.Р.;м;На рождение на севере порфирородного отрока;undefined;поэзия;1779;ода;нет;нет;С белыми Борей власами;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
48;Державин Г.Р.;м;Памятник;undefined;поэзия;1795;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
49;Аблесимов А.О.;м;Мельник — колдун, обманщик и сват;undefined;драма;1772;комедия;нет;нет;Сам и барин, сам крестьянин;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;undefined;Осмоловский.Ч.2_1921
50;Дмитриев И.И.;м;Чужой толк;undefined;поэзия;1794;сатира;нет;нет;Что за диковина;В.Д.Осмоловский;Рига;1921;undefined;учебник;II;Осмоловский датиурет 1795;Осмоловский.Ч.2_1921
51;Карамзин Н.М.;м;Письма русского путешественника;undefined;проза;1797;письмо;нет;нет;Расстался я вами, милые расстался;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
52;Карамзин Н.М.;м;Бедная Лиза;undefined;проза;1792;повесть;нет;нет;Может быть, никто из живущих в Москве не знает так хорошо;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
53;Карамзин Н.М.;м;Что нужно атвору;undefined;проза;1794;эссе;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
54;Карамзин Н.М.;м;О любви к отечеству и народной гордости;undefined;проза;1802;эссе;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;только некоторые абзацы, 1) Не говорю, чтобы любовь к отечеству долженствовала ослеплять нас 2) Нсть всему предел.. 3);Осмоловский.Ч.3_1923
55;Карамзин Н.М.;м;История государства российского;undefined;проза;1816-1829;исторический труд;нет;нет;История в некотором смсле есть священная книга;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;только предисловие;Осмоловский.Ч.3_1923
56;Крылов И.А.;м;Крестьянин и овца;undefined;поэзия;1823;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
57;Крылов И.А.;м;Щука;undefined;поэзия;1830;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
58;Крылов И.А.;м;Слон на воеводстве;undefined;поэзия;1808;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
59;Крылов И.А.;м;Вельможа;undefined;поэзия;1836;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
60;Крылов И.А.;м;Волк и овцы;undefined;поэзия;1833;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
61;Крылов И.А.;м;Лжец;undefined;поэзия;1812;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
62;Крылов И.А.;м;Обезьяна;undefined;поэзия;1808;басня;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
63;Крылов И.А.;м;Квартет;undefined;поэзия;1811;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
64;Крылов И.А.;м;Парнас;undefined;поэзия;1808;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
65;Крылов И.А.;м;Осел и соловей;undefined;поэзия;1811;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
66;Крылов И.А.;м;Свинья под дубом;undefined;поэзия;1823;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
67;Крылов И.А.;м;Свинья;undefined;поэзия;1811;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
68;Крылов И.А.;м;Кукушка и горлинка;undefined;поэзия;1817;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
69;Крылов И.А.;м;Сочинитель и разбойник;undefined;поэзия;1817;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
70;Крылов И.А.;м;Волк на псарне;undefined;поэзия;1812;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
71;Крылов И.А.;м;Демьянова уха;undefined;поэзия;1812;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
72;Крылов И.А.;м;Любопытный;undefined;поэзия;1814;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
73;Крылов И.А.;м;Гуси;undefined;поэзия;1811;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
74;Крылов И.А.;м;Муравей;undefined;поэзия;1819;басня;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
75;Грибоедов А.С.;м;Горе от ума;undefined;драма;1825;пьеса;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
76;Гончаров И.А.;м;Мильон терзаний;undefined;проза;1872;эссе;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
77;Жуковский В.А.;м;Сельское кладбище;undefined;поэзия;1839;элегия;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
78;Жуковский В.А.;м;Теон и Эсхин;undefined;поэзия;1814;элегия;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
79;Жуковский В.А.;м;Море;undefined;поэзия;1822;элегия;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
80;Жуковский В.А.;м;Светлана;undefined;поэзия;1811;баллада;нет;нет;Раз в крещенский вечерок;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
81;Жуковский В.А.;м;Эолова арфа;undefined;поэзия;1814;баллада;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
82;Жуковский В.А.;м;Граф Гапсбургский;undefined;поэзия;1818;баллада;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
83;Жуковский В.А.;м;Кубок;undefined;поэзия;1831;баллада;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
84;Жуковский В.А.;м;Перчатка;undefined;поэзия;1831;баллада;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
85;Жуковский В.А.;м;Ивиковы журавли;undefined;поэзия;1814;баллада;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
86;Жуковский В.А.;м;Двенадцать спящих дев;undefined;поэзия;1817;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
87;Жуковский В.А.;м;Ундина;undefined;поэзия;1837;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
88;Жуковский В.А.;м;Камоэнс;undefined;драма;1839;драматическая поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;III;undefined;Осмоловский.Ч.3_1923
89;Пушкин А.С.;м;Руслан и Людмила;undefined;поэзия;1820;поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
90;Пушкин А.С.;м;Деревня;undefined;поэзия;1819;стихотворение;нет;нет;О, еслиб голос мой умел сердца тревожить;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
91;Пушкин А.С.;м;Вольность;undefined;поэзия;1820;стихотворение;нет;нет;Беги, сокройся от очей;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
92;Пушкин А.С.;м;Возрождение;undefined;поэзия;1819;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
93;Пушкин А.С.;м;Кавказский пленник;undefined;поэзия;1822;поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
94;Пушкин А.С.;м;Братья разбойники;undefined;поэзия;1825;поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
95;Пушкин А.С.;м;Песнь о вещем Олеге;undefined;поэзия;1825;баллада;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
96;Пушкин А.С.;м;Бахчисарайский фонтан;undefined;поэзия;1824;поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
97;Пушкин А.С.;м;Цыганы;undefined;поэзия;1825;поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
98;Пушкин А.С.;м;Наполеон;undefined;поэзия;1821;ода;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
99;Пушкин А.С.;м;Демон;undefined;поэзия;1823;элегия;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
100;Пушкин А.С.;м;К морю;undefined;поэзия;1824;элегия;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
101;Пушкин А.С.;м;Борис Годунов;undefined;драма;1825;драма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
102;Пушкин А.С.;м;Пророк;undefined;поэзия;1826;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
103;Пушкин А.С.;м;26 мая 1828;undefined;поэзия;1828;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
104;Пушкин А.С.;м;Поэт;undefined;поэзия;1827;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
105;Пушкин А.С.;м;Чернь;undefined;поэзия;1828;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
106;Пушкин А.С.;м;Поэту;undefined;поэзия;1830;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
107;Пушкин А.С.;м;Эхо;undefined;поэзия;1831;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
108;Пушкин А.С.;м;Воспоминание;undefined;поэзия;1828;стихотворение;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
109;Пушкин А.С.;м;Стансы;undefined;поэзия;1826;стихотворение;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
110;Пушкин А.С.;м;Труд;undefined;поэзия;1830;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
111;Пушкин А.С.;м;Полтава;undefined;поэзия;1828;поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
112;Пушкин А.С.;м;Арап Петра Великого;undefined;поэзия;1827;стихотворение;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
113;Пушкин А.С.;м;Утопленник;undefined;поэзия;1828;стихотворение;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
114;Пушкин А.С.;м;Бесы;undefined;поэзия;1826;стихотворение;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
115;Пушкин А.С.;м;Евгений Онегин;undefined;поэзия;1833;стихотворение;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами , оч мало;Осмоловский.Ч.4_1923
116;Пушкин А.С.;м;Скупой рыцарь;undefined;драма;1836;драма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
117;Пушкин А.С.;м;Моцарт и Сальери;undefined;поэзия;1832;стихотворение;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
118;Пушкин А.С.;м;Пир Петра Великого;undefined;поэзия;1836;стихотворение;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
119;Пушкин А.С.;м;Медный всадник;undefined;поэзия;1837;поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
120;Пушкин А.С.;м;Капитанская дочка;undefined;поэзия;1836;стихотворение;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
121;Лермонтов М.Ю.;м;Ангел;undefined;поэзия;1831;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
122;Лермонтов М.Ю.;м;Парус;undefined;поэзия;1832;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
123;Лермонтов М.Ю.;м;Молитва;undefined;поэзия;1839;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
124;Лермонтов М.Ю.;м;Смерть поэта;На смерть Пушкина;поэзия;1837;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
125;Лермонтов М.Ю.;м;Дума;undefined;поэзия;1839;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с цитатами;Осмоловский.Ч.4_1923
126;Лермонтов М.Ю.;м;Последнее веселье;undefined;поэзия;1841;стихотворение;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
127;Лермонтов М.Ю.;м;Поэт;undefined;поэзия;1839;стихотворение;да;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
128;Лермонтов М.Ю.;м;Мцыри;undefined;поэзия;1840;поэма;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
129;Лермонтов М.Ю.;м;Демон;undefined;поэзия;1839;поэма;нет;нет;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
130;Лермонтов М.Ю.;м;Герой нашего времени;undefined;проза;1840;роман;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
131;Гоголь Н.В.;м;Тарас Бульба;undefined;проза;1835;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;с отрывками;Осмоловский.Ч.4_1923
132;Гоголь Н.В.;м;Старосветские помещики;undefined;проза;1835;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
133;Гоголь Н.В.;м;Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем;undefined;проза;1834;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
134;Гоголь Н.В.;м;Ревизор;undefined;проза;1836;комедия;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
135;Гоголь Н.В.;м;Шинель;undefined;проза;1842;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
136;Гоголь Н.В.;м;Невский проспект;undefined;проза;1835;повесть;нет;да;undefined;В.Д.Осмоловский;Рига;1923;undefined;учебник;IV;undefined;Осмоловский.Ч.4_1923
