;author_in_publication;text;name;city;type;issue ;year_publ_in_emigration;date_publ_in_emigration;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Никитин Н. ;О кобыльем яйце и коте-агенте;Накануне ;Берлин;Литературное приложение ;№82(№9);1922;16.07.;проза;полный текст;;1;;;;;
;Катаев В.;В осажденном городе;Накануне ;Берлин;Литературное приложение ;№82(№9);1922;16.07.;;полный текст;;;;;;;
;Мандельштам О.;С розовой пеной усталость у мягких губ;Накануне ;Берлин;Литературное приложение ;№94(№11);1922;30.07.;стихи;полный текст;;1;;;;;
;Зенкевич М.;Черношоколадные пашни;Накануне ;Берлин;Литературное приложение ;№94(№11);1922;30.07.;стихи;полный текст;;1;;;;;Саратов, 1922
;Лидин В.;Ковчег;Накануне ;Берлин;Литературное приложение ;№94(№11);1922;30.07.;проза;полный текст;;1—;;;;;(Из книги «Мышиные будни»)
;Слезкин Ю.;Столовая Гора;Накануне ;Берлин;Литературное приложение ;№100(№12);1922;06.08.;проза;отрывок;О Лизочке и еще кой о чем;1—2;;;;;Март, 1922, г. Москва
;Семенов С.;Sterbstadt;Накануне ;Берлин;Литературное приложение ;№100(№12);1922;06.08.;проза;отрывок;;2—3;;;;;Петербург, весна 1922
;Блок А.А.;Возмездие;Накануне ;Берлин;Литературное приложение ;№106(№13);1922;13.08.;стихи;отрывок;;1;;;;;
;Волошин М.;Памяти Александра Блока;Накануне ;Берлин;Литературное приложение ;№106(№13);1922;13.08.;стихи;полный текст;;1;;;;;Коктебель, 1921
;Чачиков А. ;Грядущее;Накануне ;Берлин;Литературное приложение ;№112(№14);1922;20.08.;стихи;полный текст;;1;;;;;Аджаристан
;Слонимский М.;Чертово колесо;Накануне ;Берлин;Литературное приложение ;№112(№14);1922;20.08.;проза;полный текст;;1—4;;;;;
;Приходченко Е.;Гудела степь и ветры пахли медом;Накануне ;Берлин;Литературное приложение ;№112(№14);1922;20.08.;стихи;полный текст;;1;;;;;
;Катаев В.;Рыжие крестики ;Накануне ;Берлин;Литературное приложение ;№112(№14);1922;20.08.;проза;полный текст;;4;;;;;
;Иванов Вс. ;Рассказ о себе;Накануне ;Берлин;Литературное приложение ;№118(№15);1922;27.08.;проза;полный текст;;1—2;;;;;
;Слезкин Ю.;Томительная ночи повесть;Накануне ;Берлин;Литературное приложение ;№118(№15);1922;27.08.;проза;полный текст;;3—4;;;;;
;Ивнев Р.;Россия;Накануне ;Берлин;Литературное приложение ;№124(№16);1922;03.09.;стихи;полный текст;;1;;;;;
;Крайский А.;Я или ты?;Накануне ;Берлин;Литературное приложение ;№124(№16);1922;03.09.;стихи;полный текст;;1—2;;;;;
;Неверов А.;Колька;Накануне ;Берлин;Литературное приложение ;№124(№16);1922;03.09.;проза;полный текст;;2—5;;;;;
;Козырев М.;Пекате;Накануне ;Берлин;Литературное приложение ;№124(№16);1922;03.09.;проза;полный текст;;5—8;;;;;
;Галати Е.;Как мудрый отравитель, время ;Накануне ;Берлин;Литературное приложение ;№130(№17);1922;10.09.;стихи ;полный текст;;1;;;;;
;Галати Е.;Фильмела;Накануне ;Берлин;Литературное приложение ;№130(№17);1922;10.09.;стихи;полный текст;;1;;;;;
;Оленин А.;Поэма встречи;Накануне ;Берлин;Литературное приложение ;№136(№18);1922;17.09.;стихи;отрывок;;1;;;;;Москва, март 1922
;Слезкин Ю.;Житие;Накануне ;Берлин;Литературное приложение ;№136(№18);1922;17.09.;проза;полный текст;;1—5;;;;;
;Катаев В.;Иринка;Накануне ;Берлин;Литературное приложение ;№142(№19);1922;24.09.;проза;полный текст;;1—2;;;;;
;Булгаков М.М.;Похождения Чичикова;Накануне ;Берлин;Литературное приложение ;№142(№19);1922;24.09.;проза;полный текст;;2—6;;;;;
;Никулин Л. ;Путешествие в Афганистан;Накануне ;Берлин;Литературное приложение ;№154(№21);1922;08.10.;стихи;отрывок;Герат;1;;;;;
;Никитин Н. ;Пелла;Накануне ;Берлин;Литературное приложение ;№154(№21);1922;08.10.;стихи;полный текст;;1;;;;;
;Ромашев Б.;Я живу в том доме;Накануне ;Берлин;Литературное приложение ;№160(№22);1922;15.10.;стихи;полный текст;;1;;;;;Пятигорск, 1922г
;Приходченко Е.;Затея;Накануне ;Берлин;Литературное приложение ;№160(№22);1922;15.10.;стихи;полный текст;;1;;;;;
;Горбов Д.;По облакам;Накануне ;Берлин;Литературное приложение ;№160(№22);1922;15.10.;стихи;полный текст;;1;;;;;
;Никитин Н. ;Человеческий-ли документ;Накануне ;Берлин;Литературное приложение ;№160(№22);1922;15.10.;эго-документ;полный текст;;6—7;;;;;
;Соколов-Микитов И.;Письмо ;Накануне ;Берлин;Литературное приложение ;№160(№22);1922;15.10.;эго-документ;полный текст;;7;;;;;
;Булгаков М.М.;Красная корона;Накануне ;Берлин;Литературное приложение ;№166(№23);1922;22.10.;проза;полный текст;;2—5;;;;;
;Слезкин Ю.;Столовая Гора;Накануне ;Берлин;Литературное приложение ;№178(№25);1922;05.11.;проза;отрывок;Разрешается хождение;2—5;;;;;
;Федин К.А.;Анна Тимофеевна;Накануне ;Берлин;Литературное приложение ;№190(№27);1922;19.11.;проза;отрывок;Чудо;2—3;;;;;
;Миндалин Э. М. ;Литературная Москва;Накануне ;Берлин;Литературное приложение ;№195(№28);1922;26.11.;;полный текст;;;;;;;
;Грин А.С.;Тифозный пунктир;Накануне ;Берлин;Литературное приложение ;№201(№29);1922;03.12.;проза;полный текст;;1—3;;;;;
;Михайлов П.;Сучки и задоринки;Накануне ;Берлин;Литературное приложение ;№207(№30);1922;10.12.;проза;полный текст;;4;;;;;Москва, 22 ноября 
;Булгаков М.М.;Алый мах;Накануне ;Берлин;Литературное приложение ;№207(№30);1922;10.12.;проза;отрывок;В ночь на 3-е число;1—2;;;;;
;Соколовский А. ;Среди чужих;Накануне ;Берлин;Литературное приложение ;№213(№31);1922;17.12.;проза;полный текст;;1—2;;;;;
;Кузмин М.;Брызни дождем веселым;Накануне ;Берлин;Литературное приложение ;№235(№35);1923;14.01.;стихи;полный текст;;1;;;;;
;Катаев В.;Три бездельника;Накануне ;Берлин;Литературное приложение ;№235(№35);1923;14.01.;проза;отрывок;Женитьба Эдуарда;2—5;;;;;
;Кузмин М.;На площадке пляшут дети;Накануне ;Берлин;Литературное приложение ;№235(№35);1923;14.01.;стихи;полный текст;;1;;;;;
;Кузмин М.;Родина Вергилия;Накануне ;Берлин;Литературное приложение ;№235(№35);1923;14.01.;стихи;полный текст;;2;;;;;
;Волошин М.;На вокзале ;Накануне ;Берлин;Литературное приложение ;№240(№36);1923;20.01.;стихи;полный текст;;1;;;;;20 июня 1919, гор. Коктебель
;Мандельштам О.;Гуманизм и современность ;Накануне ;Берлин;Литературное приложение ;№240(№36);1923;20.01.;проза;полный текст;;6;;;;;
;Волошин М.;Пустыня;Накануне ;Берлин;Литературное приложение ;№240(№36);1923;20.01.;стихи;полный текст;;2;;;;;
;Волошин М.;Посев ;Накануне ;Берлин;Литературное приложение ;№240(№36);1923;20.01.;стихи;полный текст;;2;;;;;20 июня 1919, гор. Коктебель
;Шенгели Г.;Броненосец;Накануне ;Берлин;Литературное приложение ;№246(№37);1923;27.01.;стихи;полный текст;;1;;;;;
;Волошин М.;Карадэг;Накануне ;Берлин;Литературное приложение ;№246(№37);1923;27.01.;стихи;полный текст;;2;;;;;Коктебель, 17 июня 1918 г.
;Волошин М.;Ветер с неба хлопья облак вытер;Накануне ;Берлин;Литературное приложение ;№246(№37);1923;27.01.;стихи ;полный текст;;2;;;;;Коктебель, 20-го июня 1917 г.
