;author_in_publication;text;name;city;type;issue ;year_publ_in_emigration;date_publ_in_emigration;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Цветаева М.;Со мной не надо говорить;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;124;;;;;
;Цветаева М.;Ты меня никогда не прогонишь;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;125;;;;;
;Цветаева М.;Не знаю, где ты и где я;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;126;;;;;
;Цветаева М.;И бродим с тобой по церквам;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;127;;;;;
;Цветаева М.;И как под землею трава;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;128;;;;;
;Цветаева М.;Когда-нибудь, прелестное созданье;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;129;;;;;
;Цветаева М.;Отнимите жемчуг – останутся слезы;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;130;;;;;
;Зощенко М.М.;Виктория Казимировна;Голос России;Берлин;газета;№1032;1922;15.08;проза;полный текст;;3—4;;;;;Сборник «Серапионовы братья»
;Горький М.;Фарфоровая свинья;Русский Голос;Нью-Йорк;газета;№7573;1936;05.08;проза;полный текст;;2;;;;;
;Гумилев Н.С.;Огненный столп;Петрополис;Берлин;издательство;;1922;;;;;;;;;;
;Мандельштам О.;Tristia;Петрополис;Берлин;издательство;;1922;;;;;;;;;;
;Кузмин М.;Параболы;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Радлова А.Д. ;Богородицын корабль ;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Гумилев Н.С.;Колчан;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Гумилев Н.С.;К синей звезде ;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Кузмин М.;Глиняные голубки ;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Кузмин М.;Крылья;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Кузмин М.;Сети;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Гумилев Н.С.;Французские народные песни;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Кузмин М.;Плавающие путешествующие;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Никитин Н. ;Полет;Петрополис;Берлин;издательство;;1923;;;;;;;;;;
;Никитин Н. ;Ночной пожар;Петрополис;Берлин;издательство;;1924;;;;;;;;;;
;Кузмин М.;Тихий страж;Петрополис;Берлин;издательство;;1924;;;;;;;;;;
;Калинников И.Ф.;Мощи;Петрополис;Берлин;издательство;;1926;;;;;;;;;;
;Андреев В.М.;Преступления Аквилонова;Петрополис;Берлин;издательство;;1927;;;;;;;;;;
;Четвериков Б.Д.;Бунт инженера Каринского;Петрополис;Берлин;издательство;;1928;;;;;;;;;;
;Федин К.А.;Братья;Петрополис;Берлин;издательство;;1928;;;;;;;;;;
;Толстой А.Н.;Восемнадцатый год;Петрополис;Берлин;издательство;;1928;;;;;;;;;;
;Мариенгоф А.;Циники;Петрополис;Берлин;издательство;;1928;;;;;;;;;;
;"Пильняк Б.А.
";Штосс в жизнь;Петрополис;Берлин;издательство;;1929;;;;;;;;;;
;Мариенгоф А.;Роман без вранья ;Петрополис;Берлин;издательство;;1929;;;;;;;;;;
;Никитин Н. ;Шпион;Петрополис;Берлин;издательство;;1929;;;;;;;;;;
;Зощенко М.М.;Семейный купорос;Петрополис;Берлин;издательство;;1929;;;;;;1928;;Пушка;№47;
;"Пильняк Б.А.
";Красное дерево;Петрополис;Берлин;издательство;;1929;;;;;;;;;;
;Савич О.;Воображаемый собеседник ;Петрополис;Берлин;издательство;;1929;;;;;;;;;;
;Сытин А.П.;Пастух времен;Петрополис;Берлин;издательство;;1929;;;;;;;;;;
;Тынянов Ю.;Смерть Вазир-Мухтара;Петрополис;Берлин;издательство;;1929;;;;;;;;;;
;Зощенко М.М.;Воспоминания о Мишеле Синягине;Петрополис;Берлин;издательство;;1930;;;;;;1930;;Новый мир;№12;
;Мариенгоф А.;Бритый человек;Петрополис;Берлин;издательство;;1930;;;;;;;;;;
;Толстой А.Н.;Петр 1;Петрополис;Берлин;издательство;;1930;;;;;;;;;;
;Фибих Д.;Угар;Петрополис;Берлин;издательство;;1930;;;;;;;;;;
;Зощенко М.М.;Воспоминания о Мишеле Синягине;Петрополис;Берлин;издательство;;1931;;;;;;1930;;Новый мир;№12;
;Савич О.;Мы и они: Франция;Петрополис;Берлин;издательство;;1931;;;;;;;;;;
;Розенфельд С.Е.;Гибель;Петрополис;Берлин;издательство;;1931;;;;;;;;;;
;Гумилев Н.С.;Гондла;Петрополис;Берлин;издательство;;1936;;;;;;;;;;
;Гумилев Н.С.;Чужое небо;Петрополис;Берлин;издательство;;1936;;;;;;;;;;
;Леонов Л.;Соть;Книга и сцена;Берлин;издательство;;193?;;;;;;;;;;
;Катаев В.;Отец;Книга и сцена;Берлин;издательство;;1930;;;;;;;;;;
;Катаев В.;Растратчики;Книга и сцена;Берлин;издательство;;1930;;;;;;;;;;
;Ильф И. И Петров Е.;Золотой зеленок;Книга и сцена;Берлин;издательство;;1931;;;;;;;;;;
;Олеша Ю.;Список благодеяний;Книга и сцена;Берлин;издательство;;1931;;;;;;;;;;
;Толстой А.Н.;Черное золото;Книга и сцена;Берлин;издательство;;1931;;;;;;;;;;
;Катаев В.;Миллион терзаний;Книга и сцена;Берлин;издательство;;1931;;;;;;;;;;
;Слонимский М.;Фома Клешнев;Книга и сцена;Берлин;издательство;;1931;;;;;;;;;;
;Павлов В.;Подхалимы;Возрождение;Париж;газета;№952;1928;10.01;;полный текст;;5;;;Крокодил;;
;Романов П. ;Легкая работа;Возрождение;Париж;газета;№1170;1928;15.08;;полный текст;;3;1928;июль;Красная новь;№7, 84—86;
;Бабель И.Э.;Мопассан — ее страсть;Возрождение;Париж;газета;№2632;1932;16.08;;полный текст;;4—5;1932;;30 дней;№6;
;Шолохов М.А.;Поднятая целина;Возрождение;Париж;газета;№2702;1932;25.10;;полный текст;;4—5;1932;;Новый мир;№5—6;
;Зощенко М.М.;Юмористический рассказ;Возрождение;Париж;газета;№2725;1932;17.11;;полный текст;;2;1932;;Вечерняя Москва;;
;Ильф И. И Петров Е.;Веселящая единица;Возрождение;Париж;газета;№2735;1932;27.11;;полный текст;;5;1932;12.11;Правда;;
;Зощенко М.М.;Беспокойный старичок;Возрождение;Париж;газета;№2801;1933;01.02;;полный текст;;3;1933;январь;Крокодил;№3;
;Зощенко М.М.;Страдания молодого Вертера;Возрождение;Париж;газета;№2815;1933;15.02;;полный текст;;3;1933;январь;Крокодил;№1;
;Зощенко М.М.;Единодушие;Возрождение;Париж;газета;№2816;1933;16.02;;полный текст;;5;1933;10.02;Вечерняя Москва;;? Вечерняя Москва 3 10.02.1933
;Федин К.А.;Похищение Европы;Возрождение;Париж;газета;№2819;1933;19.02;;отрывок;Ганза;4;1933;13.02;Красная газета;№36(3324), 3;
;Ильф И. И Петров Е.;Кандидаты ;Возрождение;Париж;газета;№2923;1933;23.02;;полный текст;;3—4;1933;10.02;Огонек;№4(464), 4—5;
;Ильф И. И Петров Е.;Необыкновенные страдания директора завода;Возрождение;Париж;газета;№2859;1933;31.03;;полный текст;;5;1933;26.03;Правда;;Правда
;Шолохов М.А.;Тихий Дон;Возрождение;Париж;газета;№2885;1933;26.04;;отрывок;восстание;3;1933;21.04;Красная газета;№92(3870),С.3 ;Вечерняя Газета (Октябрь января 1932)
;Ильф И. И Петров Е.;Техника на грани фантастики;Возрождение;Париж;газета;№2944;1933;24.06;;полный текст;;5;1933;июнь;Крокодил;№17, 4—5;
;Зощенко М.М.;Преступление и наказание;Возрождение;Париж;газета;№2952;1933;02.07;;отрывок;;4;1933;март;Красная новь;№3, 131—138;
;Зощенко М.М.;Преступление и наказание;Возрождение;Париж;газета;№2953;1933;03.07;;отрывок;;3;1933;март;Красная новь;№3, 131—138;
;Зощенко М.М.;Морока;Возрождение;Париж;газета;№3129;1933;26.12;;полный текст;;3;1933;декабрь;Крокодил;№34, 4—5;
;Зощенко М.М.;Счастливый путь;Возрождение;Париж;газета;№3132;1933;29.12;;полный текст;;5;1933;20.12;Огонек;№ 26 (486), 5—6;
;Романов П. ;Для удобства публики ;Возрождение;Париж;газета;№3139;1934;05.01;;полный текст;;5;1933;декабрь;Крокодил;№34, 7—8;
???? И.;Катаев В.;В одной комнате;Возрождение;Париж;газета;№3142;1934;08.01;;полный текст;;3;1933;20.12;Огонек;№ 26 (486), 3—4;
;Романов П. ;Кукла;Возрождение;Париж;газета;№3164;1934;30.01;;полный текст;;4;1934;январь;Крокодил;№1, 3–4;
;Зощенко М.М.;Подарок;Возрождение;Париж;газета;№3184;1934;20.02;;полный текст;;4;1934;январь;Крокодил;№3, 5;
;Ильф И. И Петров Е.;Директивный бантик;Возрождение;Париж;газета;№3216;1934;24.03;;полный текст;;4;1934;19.03;Правда;;
;Зощенко М.М.;Анна на шее;Возрождение;Париж;газета;№3226;1934;03.04;;полный текст;;4;1934;март;Крокодил;№7, 6—7;
;Ильф И. И Петров Е.;Любимый трамвай;Возрождение;Париж;газета;№3235;1934;12.04;;полный текст;;2;1934;07.04;Правда;;
;Зощенко М.М.;Неудачный день;Возрождение;Париж;газета;№3290;1934;06.06;;отрывок;;3;1934;февраль;Красная новь;№2, 138—143;
;Зощенко М.М.;Неудачный день;Возрождение;Париж;газета;№3292;1934;08.06;;отрывок;;3;1934;март;Красная новь;№2, 138—144;
;Зощенко М.М.;Неприятная история;Возрождение;Париж;газета;№3300;1934;16.06;;полный текст;;4;1934;12.06;Известия ;;
;Зощенко М.М.;Забавное приключение;Возрождение;Париж;газета;№3478;1934;11.12;;полный текст;;3—4;;;Голубая книга?;;
;Шолохов М.А.;Тихий Дон;Возрождение;Париж;газета;№3569;1935;12.03;;отрывок;Глава из 4 части романа;3—4;1935;06.03;Известия ;№57 (5610), 2, 4;
;Ильф И. И Петров Е.;Широкий размах;Возрождение;Париж;газета;№3605;1935;17.04;;полный текст;;3;1935;12.04;Правда;;
;Ильф И. И Петров Е.;Театральная история ;Возрождение;Париж;газета;№3623;1935;05.05;;полный текст;;5;1935;апрель;Крокодил?;№12;
;Ильф И. И Петров Е.;Лентяй;Возрождение;Париж;газета;№3644;1935;26.05;;полный текст;;6;1935;апрель;Крокодил;№12, 2;
;Зощенко М.М.;Страдания молодого Вертера;Возрождение;Париж;газета;№3718;1935;08.08;;полный текст;;5;1935;июль;Красная новь;№7, 22—24;
;Зощенко М.М.;Рассказы о неудачах (мелкий случай из личной жизни);Возрождение;Париж;газета;№3720;1935;10.08;;полный текст;;4;1935;июль;Красная новь;№7, 26—27;
;Зощенко М.М.;Водяная феерия;Возрождение;Париж;газета;№3836;1935;04.12;;полный текст;;3;1935;ноябрь;Крокодил;№28–29, 4—5;
;Зощенко М.М.;Плохая жена;Возрождение;Париж;газета;№3867;1936;04.01;;полный текст;;4;;;Вечерняя Москва;;
;Зощенко М.М.;Много шума из ничего;Возрождение;Париж;газета;№4039;1936;15.08;;полный текст;;4;1936;09.07;Известия ;№158, 4;
;Зощенко М.М.;История болезни;Возрождение;Париж;газета;№4061;1937;16.01;;полный текст;;4;1936;октябрь;Крокодил;№28, 6—7;
;Бедный Д.;Новогодняя нота;Последние новости;Париж;газета;№230;1921;20.01;;полный текст;;3;;;;;
;Маяковский В.В.;О дряни;Последние новости;Париж;газета;№332;1921;19.05;;отрывок;;3;;;Бов;;
;Маяковский В.В.;;Последние новости;Париж;газета;№341;1921;29.05;;отрывок;;3;;;Бов;;
;Бедный Д.;Барьеры;Последние новости;Париж;газета;№410;1921;18.08;;полный текст;;3;;;Правда;;
;Бедный Д.;Добрая душа;Последние новости;Париж;газета;№423;1921;02.09;;полный текст;;3;;;Правда;;
;Бедный Д.;;Последние новости;Париж;газета;№459;1921;14.10;;полный текст;;3;;;;;
;Бедный Д.;Песня про «совдуров» ;Последние новости;Париж;газета;№747;1922;24.09;;полный текст;;3;;;;;
;Бедный Д.;Правая, левая, где сторона?;Последние новости;Париж;газета;№805;1922;03.12;;полный текст;;3;;;;;
;Зорич А.;Во тьме (очерки советской деревни);Последние новости;Париж;газета;№1582;1925;21.06;;полный текст;;3;;;Красная новь;№4;
;Зорич А.;Во тьме (очерки советской деревни);Последние новости;Париж;газета;№1567;1925;27.06;;полный текст;;3;;;;;
;Зощенко М.М.;Происшествие;Последние новости;Париж;газета;№3074;1925;22.08;;полный текст;;5;1925;;Бегемот;№26;Уличное происшествие
;Завалишин А.;Агитатор;Последние новости;Париж;газета;№1746;1926;01.01;;полный текст;;3–4;;;Беднота;;
;Есенин С. А.;Песня;Последние новости;Париж;газета;№1772;1926;28.01;;полный текст;;3;;;;;
;Горький М.;Дело Артамоновых;Последние новости;Париж;газета;№1789;1926;14.02;;отрывок;Свадьба;2—3;1926;январь;Красная новь;;
;Грин А.С.;Брак Августа Эсборна;Последние новости;Париж;газета;№1845;1926;11.04;;полный текст;;2—3;1926;;Красная Нива;№13;
;Озаровская О.;Самоходка;Последние новости;Париж;газета;№1894;1926;30.05;;полный текст;;3;;;Красная Нива;;
;Шкапская М.;Финский обычай;Последние новости;Париж;газета;№1895;1926;31.05;;полный текст;;2;;;Красная газета;;
;Мандельштам О.;Советский Киев;Последние новости;Париж;газета;№1899;1926;04.06;;полный текст;;2;;;Красная газета;;
;Федорович В.;Принципиально;Последние новости;Париж;газета;№1926;1926;01.07;;полный текст;;4;;;Правда;;
;Федорович В.;Недоумение с шефом;Последние новости;Париж;газета;№1943;1926;18.07;;полный текст;;3;;;Правда;;
;Пришвин М.;Собаки;Последние новости;Париж;газета;№1950;1926;25.07;;отрывок;Война и мир;2–3;1926;;Красная Нива;№19;
;Пришвин М.;Собаки;Последние новости;Париж;газета;№1957;1926;01.08;;отрывок;Собачья память;2—3;1926;;Красная Нива;№19;
;Шкапская М.;На крайнем Севере;Последние новости;Париж;газета;№1962;1926;06.08;;полный текст;;2;;;Красная газета;;
;Федорович В.;Ревизоры с печатями;Последние новости;Париж;газета;№1985;1926;29.08;;полный текст;;4;;;Правда;;
;Кольцов М.;Светлая юность;Последние новости;Париж;газета;№1986;1926;30.08;;полный текст;;3;;;Правда;;
-;Зощенко М.М.;Летчик;Последние новости;Париж;газета;№2006;1926;19.09;;полный текст;;3;;;;;
;Зощенко М.М.;Часы;Последние новости;Париж;газета;№2006;1926;19.09;;полный текст;;3;1926;;Бегемот;№15;
-;Зощенко М.М.;Двугривенный;Последние новости;Париж;газета;№2006;1926;19.09;;полный текст;;3;;;;;
;Маяковский В.В.;Хулиган;Последние новости;Париж;газета;№2010;1926;23.09;;отрывок;;4;;;Известия;;
;Зощенко М.М.;Письма в редакцию;Последние новости;Париж;газета;№2015;1926;28.09;;полный текст;;3;1926;;Уважаемые граждане («Земля и фабрика»);Или Мухомор 1922 №2;
;Зощенко М.М.;Диктофон;Последние новости;Париж;газета;№2022;1926;05.10;;полный текст;;3;1926;;Уважаемые граждане («Земля и фабрика»);Или Смехач №3 1924;
;Бедный Д.;Вот прием где будет лестным;Последние новости;Париж;газета;№2032;1926;15.10;стихи;полный текст;;3;1926;09.10;Правда;;
-;Тренев К.;Тихий город;Последние новости;Париж;газета;№2038;1926;18.10;;полный текст;;2—3;;;Красная Нива;;
;Зощенко М.М.;На живца;Последние новости;Париж;газета;№2039;1926;22.10;;полный текст;;3;1926;;Уважаемые граждане («Земля и фабрика»);;
;Пришвин М.;Старая щука;Последние новости;Париж;газета;№2048;1926;31.10;;полный текст;;4;1926;;Красная Нива;№42;
;Пришвин М.;Проруха;Последние новости;Париж;газета;№2048;1926;31.10;;полный текст;;4;1926;;Красная Нива;№42;
-;Федорович В.;Захарова женитьба;Последние новости;Париж;газета;№2052;1926;04.11;;полный текст;;3;;;Правда;;
-;Соколов-Микитов И.;Найденов луг;Последние новости;Париж;газета;№2057;1926;09.11;;полный текст;;2—3;;;Красная Н;;
-;Зощенко М.М.;Сложный механизм;Последние новости;Париж;газета;№2057;1926;09.11;;полный текст;;3;;;;;
-;Селиванов А.;Хороший гость;Последние новости;Париж;газета;№2062;1926;14.11;;полный текст;;3;;;;;
;Зощенко М.М.;Узел;Последние новости;Париж;газета;№2072;1926;24.11;;полный текст;;3;1926;;Смехач;№44;
-;Саянский Л.;Агит-Гиньоль;Последние новости;Париж;газета;№2076;1926;28.11;;полный текст;;3;;;;;
;Пришвин М.;Первая стойка;Последние новости;Париж;газета;№2076;1926;28.11;;полный текст;;4;1926;;Красная Нива;№46;
;Пришвин М.;Предательская колбаса;Последние новости;Париж;газета;№2076;1926;28.11;;полный текст;;4;1926;;Красная Нива;№46;
;Соколов-Микитов И.;Голубые дни;Последние новости;Париж;газета;№2097;1926;19.12;;полный текст;;4;1926;;Красная Нива;№49;
;Зощенко М.М.;Мещанский уклон;Последние новости;Париж;газета;№2090;1926;12.12;;полный текст;;3;1926;;Смехач;№46;
-;Сергеев-Ценский С.Н. ;Ведьмак;Последние новости;Париж;газета;№2103;1926;25.12;;полный текст;;2—3;;;;;
;Зощенко М.М.;Режим экономии;Последние новости;Париж;газета;№2103;1926;25.12;;полный текст;;5;1926;;Веселая б-ка «Беге­мота» ;№24;
-;Шишков В.;Птичка;Последние новости;Париж;газета;№2110;1927;01.01;;полный текст;;2–3;;;Красная Нива;;
-;Зощенко М.М.;Нормальная жизнь;Последние новости;Париж;газета;№2110;1927;01.01;;полный текст;;3;;;;;
-;Зощенко М.М.;Письмо в милицию;Последние новости;Париж;газета;№2121;1927;12.01;;полный текст;;3;;;;;
;Зощенко М.М.;Тетка Марья рассказала;Последние новости;Париж;газета;№2125;1927;16.01;;полный текст;;3;1926;;Крестьянская газета;Или Бегемот 1924 №3;
;Соколов-Микитов И.;На светлых озерах;Последние новости;Париж;газета;№2132;1927;23.01;;полный текст;;2–3;1927;;Красная Нива;№3;
;Зощенко М.М.;Счастливое детство;Последние новости;Париж;газета;№2132;1927;23.01;;полный текст;;3;1925;;Бегемот;№15;
;Зощенко М.М.;Гибель человека;Последние новости;Париж;газета;№2136;1927;27.01;;полный текст;;4;1927;;Веселая б-ка «Беге­мота» ;№34;
;Зощенко М.М.;Прискорбный случай;Последние новости;Париж;газета;№2139;1927;30.01;;полный текст;;3;1926;;Бегемот;№26;
;Зощенко М.М.;Качество продукции;Последние новости;Париж;газета;№2146;1927;06.02;;полный текст;;3;1927;;Бегемот;№2;
;Зощенко М.М.;Стакан;Последние новости;Париж;газета;№2153;1927;13.02;;полный текст;;3;1925;;Смехач;№27;
-;Зорич А.;Преступление гражданки Л.;Последние новости;Париж;газета;№2162;1927;22.02;;полный текст;;3;;;Правда;;
;Соколов-Микитов И.;Танакино счастье;Последние новости;Париж;газета;№2167;1927;27.02;;полный текст;;2—3;1927;;Новый мир;№2;
;Зощенко М.М.;Пассажир;Последние новости;Париж;газета;№2167;1927;27.02;;полный текст;;3;1925;;Бегемот;№21;
-;Романов П. ;Суд над пионером;Последние новости;Париж;газета;№2174;1927;06.03;;полный текст;;2—3;;;;;
;Зощенко М.М.;Рабочий костюм;Последние новости;Париж;газета;№2174;1927;06.03;;полный текст;;3;1926;;Уважаемые граждане («Земля и фабрика»);;
;Соколов-Микитов И.;Деревенские небылицы;Последние новости;Париж;газета;№2204;1927;05.04;;полный текст;;3;;;;;Деревенские песни?
;Иванов Вс. ;Бог Матвей;Последние новости;Париж;газета;№2209;1927;10.04;;полный текст;;2–3;1927;;Красная новь;№3;
-;Зощенко М.М.;За стаканом пива;Последние новости;Париж;газета;№2209;1927;10.09;;полный текст;;3;;;;;
-;Романов П. ;Хулиганство;Последние новости;Париж;газета;№2223;1927;24.04;;полный текст;;3—4;;;Бузотер;;
;Зощенко М.М.;Свадьба;Последние новости;Париж;газета;№2223;1927;24.04;;полный текст;;4—5;1927;;Бегемот;№14;
;Зощенко М.М.;Часы;Последние новости;Париж;газета;№2244;1927;15.05;;полный текст;;3;1926;;Бегемот;№15;
;Зощенко М.М.;Американская реклама;Последние новости;Париж;газета;№2258;1927;29.05;;полный текст;;3;1926;;Веселая б-ка «Беге­мота» ;№13;
;Пришвин М.;Нерль;Последние новости;Париж;газета;№2300;1927;10.07;;полный текст;;2–3;1927;;Новый мир;№6;
;Зощенко М.М.;Дырка;Последние новости;Париж;газета;№2332;1927;11.08;;полный текст;;5;1927;;Бегемот;№31;
;Зощенко М.М.;Гримаса НЭПа;Последние новости;Париж;газета;№2381;1927;29.09;;полный текст;;4;1927;;Бегемот;№38;
-;Зощенко М.М.;Комната с кухней;Последние новости;Париж;газета;№2385;1927;03.10;;полный текст;;3;;;;;
;Зощенко М.М.;Зубное дело;Последние новости;Париж;газета;№2388;1927;06.10;;полный текст;;4;1927;;Бегемот;№39;
;Зощенко М.М.;Что-нибудь особенное;Последние новости;Париж;газета;№2401;1927;09.10;;полный текст;;;1927;;Пушка;№40;
-;Соколов-Микитов И.;Глушаки;Последние новости;Париж;газета;№2428;1927;15.11;;полный текст;;2—3;;;;;
-;Романов П. ;Порядок;Последние новости;Париж;газета;№2435;1927;22.11;;полный текст;;3;;;;;
;Зощенко М.М.;Шапка;Последние новости;Париж;газета;№2437;1927;24.11;;полный текст;;3;1927;;Бегемот;№46;
;Зощенко М.М.;Легкая жизнь;Последние новости;Париж;газета;№2452;1927;09.12;;полный текст;;3;1927;;Бегемот;№48;
;Зощенко М.М.;Очень просто;Последние новости;Париж;газета;№2475;1928;01.01;;полный текст;;5;1927;;Бегемот;№51;
;Зощенко М.М.;Жулик;Последние новости;Париж;газета;№2481;1928;07.01;;полный текст;;4;1927;;Бегемот;№52;
;Зощенко М.М.;Больные;Последние новости;Париж;газета;№2488;1928;14.01;;полный текст;;3;1928;;Бегемот;№1;
;Зощенко М.М.;Берегите здоровье!;Последние новости;Париж;газета;№2496;1928;22.01;;полный текст;;3;;;;;Кузница здоровья? Нервные люди 1928, Пролетарий
;Зощенко М.М.;Хамство;Последние новости;Париж;газета;№2510;1928;05.02;;полный текст;;4;1928;;Бегемот;№4;
-;Грамен Н.К.;Без языка;Последние новости;Париж;газета;№2517;1928;12.02;;полный текст;;4;;;;;
-;Петров Е.;Юбилей героя труда;Последние новости;Париж;газета;№2526;1928;21.02;;полный текст;;4;;;;;
-;Коварский М.;Цирковой гений;Последние новости;Париж;газета;№2531;1928;26.02;;полный текст;;4;;;;;
-;Самсонов Б.;В кино уполитпросвета;Последние новости;Париж;газета;№2559;1928;25.03;;полный текст;;4;;;;;
-;Тоболяков В.;Шаблон;Последние новости;Париж;газета;№2575;1928;10.04;;полный текст;;3;;;;;
;Зорич А.;Человек в кальсонах;Последние новости;Париж;газета;№2601;1928;06.05;;;;4;;;;;
;Зорич А.;Скорая помощь;Последние новости;Париж;газета;№2608;1928;13.05;;;;2;;;;;
;Ломакин И.;Самокритика;Последние новости;Париж;газета;№2615;1928;20.05;;;;4;;;;;
;Зощенко М.М.;Все в порядке;Последние новости;Париж;газета;№2629;1928;03.06;;;;4;;;;;
;Коварский М.;Проповедники;Последние новости;Париж;газета;№2636;1928;10.06;;;;4;;;;;
;Коварский М.;Летние впечатления Сени Зойкина;Последние новости;Париж;газета;№2678;1928;22.07;;;;3;;;;;
-;Пришвин М.;Кость;Последние новости;Париж;газета;№2684;1928;28.07;;полный текст;;2;;;Красная новь;;
;Зощенко М.М.;Пожар;Последние новости;Париж;газета;№2716;1928;29.08;;;;3;;;;;
;Максимов Н.;Об архивариусе Галкине;Последние новости;Париж;газета;№2729;1928;11.09;;;;3;;;;;
-;Дроздов А.;Три свидетеля;Последние новости;Париж;газета;№2736;1928;18.09;;полный текст;;4;;;Красная Нива;;
;Соколов-Микитов И.;Былины;Последние новости;Париж;газета;№2813;1928;04.12;;;;3;;;;;
;Зощенко М.М.;Баня в темноте;Последние новости;Париж;газета;№2829;1928;11.12;;;;3;;;;;
;Мазовский К.;Спец;Последние новости;Париж;газета;№2832;1928;23.12;;;;4;;;;;
;Зощенко М.М.;Пустое дело;Последние новости;Париж;газета;№2843;1929;03.01;;;;4;;;;;
;Пришвин М.;Журавлиная родина;Последние новости;Париж;газета;№2846;1929;06.01;;полный текст;;2—3;1929;;Новый мир;№4—9;
;Зощенко М.М.;Медицинский случай;Последние новости;Париж;газета;№2866;1929;26.01;;;;4;;;;;
;Зощенко М.М.;Серенада;Последние новости;Париж;газета;№2872;1929;01.02;;;;3;;;;;
-;Зорич А.;Пьющие девушки;Последние новости;Париж;газета;№2894;1929;23.02;;полный текст;;4;;;Прожектор;;
;Зощенко М.М.;Материнство и младенчество;Последние новости;Париж;газета;№2929;1929;30.03;;;;4;;;;;
;Соколов-Микитов И.;Дороги;Последние новости;Париж;газета;№2977;1929;17.05;;полный текст;;2—3;1929;;Новый мир;№4;
;Вольнов И.;Орел;Последние новости;Париж;газета;№3014;1929;23.06;;полный текст;;4;1929;;Красная новь;№5;
;Обручев С.;С аэроплана на оленей;Последние новости;Париж;газета;№3063;1929;11.08;;полный текст;;5;;;Новый мир;;
;Шолохов М.А.;Тихий Дон;Последние новости;Париж;газета;№3370;1930;14.06;;отрывок;Из 6 части;4;;;Красная Нива;;
-;Зощенко М.М.;Доктор медицины ;Последние новости;Париж;газета;№3745;1931;24.06;;полный текст;;3;1931;;Гослитиздат;;
-;Бобров Н.;Собаки акад. И. П. Павлова;Последние новости;Париж;газета;№3800;1931;18.08;;полный текст;;4;;;Молодая гвардия;;
;Бабель И.Э.;В подвале;Последние новости;Париж;газета;№3918;1931;14.12;;полный текст;;2–3;1931;;Новый мир;№10;
;Бабель И.Э.;Конец богадельни;Последние новости;Париж;газета;№3993;1932;27.02;;полный текст;;2—3;1932;;30 дней;№1;
;Бабель И.Э.;Дорога;Последние новости;Париж;газета;№4032;1932;06.04;;полный текст;;2;1932;;30 дней;№3;
;Зощенко М.М.;Слабая тара;Последние новости;Париж;газета;№4049;1932;23.04;;полный текст;;5;1932;;Крокодил;№10;
;Бабель И.Э.;Аргамак;Последние новости;Париж;газета;№4081;1932;25.05;;полный текст;;3;1932;;Новый мир;№3;
;Леонов Л.;Облава;Последние новости;Париж;газета;№4148;1932;31.07;;полный текст;;5;;;;;
;Леонов Л.;Скутаревский;Последние новости;Париж;газета;№4162;1932;14.08;;отрывок;Матвей Никеич;4;1932;;Новый мир;№5;
-;Ильф И. И Петров Е.;Советский Робинзон ;Последние новости;Париж;газета;№4238;1932;29.10;;полный текст;;5;;;Известия;;
-;Самойлович Р.;На крайнем Севере;Последние новости;Париж;газета;№4251;1932;11.11;;полный текст;;3;;;Сов.сборн;;
-;Ильф И. И Петров Е.;Клоп;Последние новости;Париж;газета;№4284;1932;14.12;;полный текст;;2—3;;;Правда;;
;Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4308;1933;07.01;;отрывок;Зимой, после стрелецких казней;4;;;Вечерняя Москва;;
;Ильф И. И Петров Е.;Человек с гусем;Последние новости;Париж;газета;№4323;1933;22.01;;полный текст;;5;1933;18.01;Правда;;
;Зощенко М.М.;Беспокойный старичок;Последние новости;Париж;газета;№4333;1933;01.02;;полный текст;;3;1933;январь;Крокодил;№3;
;Зощенко М.М.;Врачевание и психика;Последние новости;Париж;газета;№4341;1933;09.02;;полный текст;;5;1933;;Огонек;№2;
;Зощенко М.М.;Кража;Последние новости;Париж;газета;№4375;1933;15.03;;полный текст;;3;1933;;Крокодил;№7;
;Пришвин М.;Звери;Последние новости;Париж;газета;№4386;1933;26.03;;полный текст;;6;1932;;Новый мир;№11;Дорогие звери
;Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4408;1933;17.04;;полный текст;;2;;;Новый мир;;
